Passage ID,English Text,Chinese Translation,gpt_response_parsing_failed
271845,"Which one of these is a unit of density?Circle your answer.

",,
271875,"Here is a shape drawn on a grid of squares.On the grid, translate shape  by the vector Label the new shape .

",,
271957,"The histogram shows some information about the ages of the 134 members of a sports club.20% of the members of the sports club who are over 50 years of age are female.Work out an estimate for the number of female members who are over 50 years of age.

",,
272078,"Here are the ingredients needed to make 16 gingerbread men.Ingredientsto make 16 gingerbread men180 g   flour      40 g  ginger    110 g  butter     30 g  sugarHamish wants to make 24 gingerbread men.Work out how much of each of the ingredients he needs.

",,
272149,"Describe fully the single transformation that maps triangle B onto triangle C.

",,
272163,"Here are the first four terms of a sequence of fractions.The numerators of the fractions form the sequence of whole numbers The denominators of the fractions form the sequence of odd numbers Write down an expression, in terms of , for the  term of this sequence of fractions.

",,
272321,"and  are straight lines. is parallel to .Angle  is the midpoint of .Work out the area of trapezium .

",,
272388,"A function is represented by the following function machine.A number is input into the machine.The output is used as a new input.The second output is 11.Work out the number that was the first input.

",,
272505,"The triangle  is to be enlarged, using  as the centre, to give the triangle . The line  is the image of the line .Complete the triangle .

",,
272591,"Calculate , writing down your full calculator display.

",,
272672,"Without using a calculator, work out .You must show all your working and give your answer as a fraction in its simplest form.

",,
272702,"

Find  when  Give your answer in standard form, correct to 4 significant figures.  = ....................................................

",,
272758,"Each day, Eve records how long it takes her to complete a puzzle.On Friday, she took 50% less time than on Thursday.On Saturday, she took 20% less time than on Friday.On Saturday, she takes 36 minutes to complete the puzzle.How many minutes did she take to complete the puzzle on Thursday?Show your working.............................................. minutes

",,
272770,"Find the point , with integer co-ordinates, inside the region  such that .( .............. , .............. )

",,
272807,"Ali asked 200 students which sport they like best.They could choose swimming or tennis or athletics.The two-way table shows some information about their answers.Complete the two-way table.

",,
272851,"is a right angled triangle.All measurements are given in centimetres. is the point on  such that Work out the exact area, in cm2, of the shaded region.

",,
273312,"Here are the first five terms of an arithmetic sequence.2   5   8   11   14Write down an expression, in terms of , for the th term of this sequence.

",,
273412,"Sue works for a company that delivers parcels.One day the company delivered parcels.The table shows information about the weights, in kg, of these parcels.Complete the cumulative frequency table.

",,
273667,"Prove that , for all positive values of ,

",,
273944,"There are 10 pens in a box.There are  red pens in the box.All the other pens are blue.Jack takes at random two pens from the box.Find an expression, in terms of , for the probability that Jack takes one pen of each colour.Give your answer in its simplest form.

",,
273979,"A shop has a sale.A microwave oven has a sale price of £90A combination oven has a sale price of £84Which of these ovens has the greater normal price?You must show all your working.

",,
274057,"Solve algebraically the simultaneous equations

",,
274259,"Steve is asked to solve the equation Here is his working.Steve's answer is wrong.What mistake did he make?

",,
274278,"can be written as a single fraction in the form where and  are integers.Work out the value of  and the value of .

",,
274335,"is a sector of a circle with centre  and radius 11 cm. is the point on  and  is the point on  such that  is an equilateral triangle of side 7 cm.Calculate the area of the shaded region as a percentage of the area of the sector .Give your answer correct to 1 decimal place.

",,
274300,"At time t = 0 hours a tank is full of water.Water leaks from the tank.At the end of every hour there is 2% less water in the tank than at the start of the hour.The volume of water, in litres, in the tank at time t hours is VtGiven thatVo  = 2000Vt +1 = kVtwrite down the value of k.

",,
274515,"There are some counters in a bag.The counters are red or white or blue or yellow.Bob is going to take at random a counter from the bag.The table shows each of the probabilities that the counter will be blue or will be yellow.There are 18 blue counters in the bag.The probability that the counter Bob takes will be red is twice the probability that the counter will be white.Work out the number of red counters in the bag.

",,
274626,"The surface gravity of a planet can be worked out using the formulawhere kilograms is the mass of the planet metres is the radius of the planetFor the Earth and Jupiter here are the values of  and .Work out the ratio of the surface gravity of Earth to the surface gravity of Jupiter.Write your answer in the form 1 :

",,
275043,"The manager of a call centre asked the 120 people, who rang the call centre last week, how long they each waited before their call was answered.The table gives information about their replies.Complete the cumulative frequency table.

",,
275615,"Simplify fully

",,
275688,"50Here is the velocity-time graph of a car for 50 seconds.Work out the average acceleration during the 50 seconds.Give the units of your answer.

",,
275794,"Which of these is a geometric progression?Circle your answer.

",,
275861,"A ship sails from  to  and then from  to . is 12 miles from , on a bearing of 080° is 28 miles from , on a bearing of 155°Work out the direct distance from  to .

",,
276064,"Using your answer to part (a), prove that if m and n are positive integers and , then

",,
276120,"

",,
276193,"Here are the first five terms of a number sequence.7    11    15    19    23Find an expression, in terms of  , for the th term of this sequence.

",,
277095,"Sue works for a company that delivers parcels.One day the company delivered parcels.The table shows information about the weights, in kg, of these parcels.Complete the cumulative frequency table.

",,
277189,"and  are points on the axes as shown.The area of triangle  is 28 square units.Work out possible coordinates for  and . ( ......... , .......... ) ( ......... , .......... ) ( ......... , .......... )

",,
277254,"The shaded region in the diagram is bounded by three lines.The equation of one of the lines is given.Write down three inequalities that define the shaded region.

",,
277474,"Aiko, Max and Pau share 5400 yen in the ratios 5: 3:4How much money does each of them get?Aiko ....................................................... yenMax ....................................................... yenPau ....................................................... yen

",,
277459,"Last month the shop had a total of 1500 customers.Work out an estimate for the number of customers who went to the shop exactly 2 times last month.

",,
277563,"On the same diagram, draw a sketch of the graph of

",,
299352,"Method 1Mitul has divided the lower bound of the total mass by the upper bound of the mass of one coin. Therefore he has worked out the lower bound for the number of coins.Check the lower bound for the total mass of 301 coins by multiplying the lower bound of the mass of one coin by 301.301 × 8.745 g = 2632.245 gMultiplying a possible mass by 301 [1]Answer between 2625 and 2635 [1]Round this to the nearest 10 g and then divide by 1000 to convert to kilograms.2632.245 g ≈ 2630 g2630 ÷ 1000 = 2.63 kgMitul may be incorrect as £301 could weigh 2.63 kg to the nearest 10 g [1]

Method 2Mitul has divided the lower bound of the total mass by the upper bound of the mass of one coin. Therefore he has worked out the lower bound for the number of coins.Work out the upper bound for the number of coins by dividing the upper bound for the total mass by the lower bound for the mass of a coin.2635 g ÷ 8.745 g = 301.3150...Dividing a possible total mass by a possible mass of a coin  [1]Answer over 301 [1]The number of coins is in the range 299.8 to 301.3 (1dp).Mitul may be incorrect as there could be £301 [1]

",,
277932,"The diagram below shows a 1cm coordinate grid.Find an inequality that defines region A and another inequality that defines region B.

",,
278328,"Estimate the time during the 50 seconds whenthe instantaneous acceleration = the average accelerationYou must show your working on the graph........................ seconds

",,
278487,"On a restaurant menu there are22 main dishes, of which  are gluten-free7 rice dishes, which are all gluten-free5 naan breads, of which 40% are gluten-free.This Meal Deal is on the menu.How many of the possible Meal Deals are totally gluten-free?

",,
278540,",  and  are three towns.The bearing of  from  is 105°The bearing of  from B is 230°The distance of  from  is 180 km.The distance of  from  is 95 km.Calculate the distance of  from .Give your answer correct to 3 significant figures.........................km

",,
278579,"David has designed a game.He uses a fair 6-sided dice and a fair 5-sided spinner.The dice is numbered 1 to 6The spinner is numbered 1 to 5Each player rolls the dice once and spins the spinner once.A player can win £5 or win £2David expects 30 people will play his game.Each person will pay David £1 to play the game.Work out how much profit David can expect to make.

",,
278647,"The histogram shows some information about the ages of the 134 members of a sports club.20% of the members of the sports club who are over 50 years of age are female.Work out an estimate for the number of female members who are over 50 years of age.

",,
278649,"Here are the results of a survey of 437 people in a town.Jeff says   At least 2 out of every 5 females in the town can speak Spanish.Is he correct?Show clearly how you reached your decision.
62 males speak Spanish.
153 females do not speak Spanish.
280 people do not speak Spanish.
",,
278810,"Describe fully the single transformation that maps triangle B onto triangle C.

",,
278948,"The distance from Fulbeck to Ganby is 10 miles.The distance from Ganby to Horton is 18 miles.Raksha is going to drive from Fulbeck to Ganby.Then she will drive from Ganby to Horton.Raksha leaves Fulbeck at 10 00She drives from Fulbeck to Ganby at an average speed of 40 mph.Raksha wants to get to Horton at 10 35Work out the average speed Raksha must drive at from Ganby to Horton.

",,
278922,"(i)Write  in the form . [2]

(ii)Use your answer to part (i) to solve the equation . ................... or ................... [2]

",,
279077,"In a survey, the outside temperature and the number of units of electricity used for heating were recorded for ten homes.The scatter diagram shows this information.Molly says,Is Molly right?Show how you get your answer.

",,
279068,"Here are the first five terms of an arithmetic sequence.2   5   8   11   14Write down an expression, in terms of , for the th term of this sequence.

",,
279130,"can be written as a single fraction in the form where and  are integers.Work out the value of  and the value of .

",,
279452,"Solve      Give your solutions correct to  significant figures.

",,
268661,"Expand

",Error in response,"While processing large textual sources, natural language processing (NLP) techniques can be used to automatically expand abbreviations or acronyms. This can help in enhancing the readability and understanding of the text."
301177,"Method 1An enlargement changes the size of the shape. As the scale factor is between 0 and 1, the shape should be smaller and closer to the centre of enlargement.Choose a corner and find the displacement from the centre to this corner. Starting at this corner count the distance of each side around the shape. You can ignore one of the diagonal sides as this can be made by joining together the two corners.Multiply each length/displacement by the scale factor. Starting at the centre use the new displacement to find the position of the new corner. Then use the new lengths to draw the enlarged shape.To check your answer you can draw a straight line going through the centre and a corner of the original shape, the corresponding corner on the enlarged shape should also lie on this line.[1]Find the area of the new triangle using the formula , where b is the base and h is the perpendicular height.[1]Area = 1.5 cm2 [1]

Method 2Find the area of the new triangle using the formula , where b is the base and h is the perpendicular height.[1]Find scale factor of the enlargement will be the length scale factor between the original triangle and the enlarged triangle. The area scale factor can be found by squaring the length scale factor.Multiply the original area by the area scale factor.[1]Simplify.Area = 1.5 cm2 [1]

",,
294247,"i)The next biggest two significant figure that the mass could have rounded to is 4.4. The upper bound for a mass which rounds to 4.3 is halfway between 4.3 and 4.4. The difference between the values is 0.1 so you need to add 0.05 to the rounded value.4.3 + 0.05 = 4.35Upper bound is 4.35 kg [1]

ii)The next smallest two significant figure that the mass could have rounded to is 4.2. The lower bound for a mass which rounds to 4.3 is halfway between 4.2 and 4.3. The difference between the values is 0.1 so you need to subtract 0.05 from the rounded value.4.3 - 0.05 = 4.25Lower bound is 4.25 kg [1]

",,
294324,"Method 1The quickest method is to subtract the probability that the team wins no matches from 1.   Finding probability of losing both matches [1]Subtracting from 1 [1] [1]Method 2Find the sum of the probability of winning one or both of the matches.Finding probability of winning one of the matches [1]Adding all three probabilities together [1] [1]

",,
266083,"Complete the statement.

When  ............... , .

",,
266127,"

",,
266195,"

",,
266210,"

",,
266276,#ERROR!,,
266359,"

",,
266398,"

",,
266520,"

",,
266498,"Jamil walks in a straight line from  to .Work out the size of angle .You must show your working.........................degrees

",,
266712,"

",,
266719,"

",,
266793,"Expand

",Error in response,"Sorry, I need more information in order to assist you. What text would you like me to process and translate?"
266795,"Show that

",Error in response,"Sorry, but could you please provide more context or details? What exactly do you want me to show?"
266879,"

",,
266909,"Write 120 as a product of its prime factors.[3]

The lowest common multiple (LCM) of x and 120 is 360.Find the smallest possible value of x.[2]

",,
267026,"

",,
267103,"

",,
267224,"

",,
267326,"

",,
267402,"Expand

",Error in response,"I'm sorry, but I need more information to better understand what you are asking for. Could you please provide more specific details or context for me to assist you?"
267442,"Expand

",Error in response,"To process the text you provided, could you please provide some specific text or information that needs to be translated and analyzed for math-related terms?"
267549,"

",,
267578,"Work out the value of

",Error in response,Work out the value of the expression.
267591,"Circle the number that is closest to the value of

",Error in response,Please provide the options or the number that needs to be evaluated.
267601,"

",,
267638,"

",,
267782,"[2]

",,
267842,"[1][2]

",,
267981,"Circle the volume that is the same as

",Error in response,Circle the volume that is the same as
268121,"

",,
268290,"

",,
268499,"Write  as a power of 2.

",Error in response,Write 8 as a power of 2.
268552,"

",,
268545,"

",,
268600,"

",,
268585,"

",,
268594,"Circle the expression that is equivalent to

",Error in response,"Understood. However, the provided text seems to be incomplete. Could you please provide more information or specify what expression you would like me to evaluate?"
268602,"Which of these is a correct identity?Circle your answer.

",Error in response,Which identities are you referring to? Could you provide the options for me to choose from?
268648,"

",,
268641,"Expand

",Error in response,"Sorry, but I'm not sure what you mean by ""expand"". Could you please provide more context or clarify your request?"
268776,"[1][2]

",,
268805,"

",,
268800,"

",,
268835,"Solve the inequality

",Error in response,"To solve the inequality, I need more information about the specific inequality you would like me to solve. Please provide me with the exact inequality equation and I will be able to assist you."
268926,"Which one of these is a unit of density?Circle your answer.

",Error in response,"Which of these is a unit of density? Please circle your answer.

a. Gram
b. Meter
c. Kilogram per cubic meter
d. Joule

Please choose the correct option and check the corresponding letter."
269017,"

",,
269367,"

",,
269835,"

",,
269840,#ERROR!,,
269939,"

",,
269972,"

",,
300835,"Method 1Substitute  into  and write your answer in the tableRepeat for  and  2 correct values [1]all 3 correct values [1]

Method 2Recognise that  is a linear equation, so as the  values are increasing by 1 each time, the  values increase by 2 each timeStarting with the first missing value:Repeat for the next two missing values2 correct values [1]all 3 correct values [1]

",,
270149,"[1][2]

",,
270188,"

",,
270172,"

",,
270181,"

",,
270186,"

",,
270198,"

",,
270196,"

",,
270314,"

",,
270362,"

",,
270382,"Complete the table of values for

",Error in response,Please provide the complete question or statement for me to assist you further.
270384,"

",,
270558,"

",,
270675,#ERROR!,,
270667,"Expand

",Error in response,Please provide the text you would like me to translate and process.
271207,"Show that

",,
270733,"

",,
270791,"Describe the single transformation that maps shape A onto shape B.

",,
270767,"Solve the simultaneous equationswhere  is a constant.Give your answers in terms of in their simplest form.

",,
270809,"For all the other points write down the type of correlation.

",,
270822,"Prove that the difference between a whole number and the cube of this number is always a multiple of

",,
270832,"Show that  can be written in the form  where   and  are positive integers.

",,
270833,"Construct the graph of

",,
270805,"is the point on  such that  = 1 : 3Find  in terms of  and .Give your answer in its simplest form.

",,
270838,"Use your graph to find estimates of the solutions to the equation

",,
270839,"Find an estimate for the median.

",,
270840,"Use your value of  to complete the Venn diagram to show the number of students in each subset.

",,
270842,"There are 54 fish in a tank.Some of the fish are white and the rest of the fish are red.Jeevan takes at random a fish from the tank.The probability that he takes a white fish is Work out the number of white fish originally in the tank.

",,
270844,"Here are the first five terms of an arithmetic sequence.4   9   14   19   24Find, in terms of , an expression for the th term of this sequence.

",,
270851,"and  are points on a circle.The tangent at  is shown. and  are straight lines.Prove that

",,
270855,"Simplify.

",,
270856,"Simplify

",,
270857,"Simplify

",,
270860,"Simplify

",,
270863,#ERROR!,,
270867,"Simplify

",,
270870,"Work out the value of

",,
270871,"Aiko, Max and Pau share 5400 yen in the ratios 5: 3:4How much money does each of them get?Aiko ....................................................... yenMax ....................................................... yenPau ....................................................... yen

",,
270874,"Simplify

",,
270836,"Write down the type of correlation shown in the scatter diagram.

",,
270884,"Express  in the form Show your working clearly.

",,
270888,"Nalini says that at least a quarter of these teachers sent more than emails.Is Nalini correct?You must explain your answer.

",,
270890,"Solve Give your solutions to 2 decimal places.You must show your working.

",,
270894,"Factorise fully

",,
270878,"Simplify

",,
270897,"The table shows the first five terms of sequences A, B and C.Complete the table for the 6th term of each sequence.

",,
270904,"

",,
270906,"Work out   Give your answer in standard form, correct to 3 significant figures.

",,
270990,"and Show that

",,
270921,"Use differentiation to find  for the following:

",,
270930,"Complete the table of values for

",,
270941,"For the curve with equation :find

",,
270949,"Simplify

",,
270918,"

",,
270951,"

",,
270975,"Show that

",,
270978,"Simplify  Give your answer as a single fraction in its simplest form.

",,
270982,"Shade the region on the grid given by the inequality

",,
270985,"Give evidence to show whether your answer to (a) is an underestimate or an overestimate.

",,
270986,"Express the inverse function in the form → ......

",,
270956,"

",,
270987,"Expand Circle your answer.

",,
271002,"State the value which cannot be in any range of f

",,
271000,"Show that

",,
271005,"f is the function such thatFind f(0.5)

",,
271009,"Solve the inequality Show your working clearly.

",,
271011,"Find ff(−1)

",,
271015,"Express the inverse function  in the form  =

",,
271019,"Find the value of

",,
271020,"Express the inverse function  in the form

",,
271024,"f is a function such thatFind

",,
271026,"Show that

",,
271001,"Show that

",,
271041,"is inversely proportional to When  is directly proportional to When Find a formula for  in terms of .Give your answer in its simplest form.

",,
271043,"Prove algebraically that the recurring decimal  can be written as

",,
271044,"Show that the recurring decimal

",,
271050,"Prove algebraically that  can be written as

",,
271052,"Use algebra to show that the recurring decimal  =

",,
271053,"Which of these represents the shaded region?Circle your answer.

",,
271055,"Write these numbers in order of size.Start with the smallest number.

",,
271060,"Show that the recurring decimal

",,
271031,"Each month Edna spends all her income on rent, on travel and on other living expenses.She spends  of her income on rent.She spends  of her income on travel.She spends  of her income on other living expenses.Work out her income each month.

",,
271070,"Complete the table of values for

",,
271065,"Express  in the form  where  andare integers.

",,
271079,"Solve   Give your solutions correct to  significant figures.

",,
271085,"The curve  has equationwhereThe curve  has equation where By writing  in the form , where  and  are constants,describe fully a series of transformations that map the curve  onto the curve .

",,
271090,"By considering the shape of the curve determine which of your answers to (b) is the -coordinate of a maximum point.

",,
271094,"Is 150 a term of this sequence?You must explain how you get your answer.

",,
271102,"Write 800 as a product of its prime factors.Show your working clearly.

",,
271104,"On the grid below, draw the graph of

",,
271120,"Jess rounds a number, , to one decimal place.The result is 9.8Write down the error interval for

",,
271099,"Ben says that 150 is in the sequence.Is Ben right?You must explain your answer.

",,
271122,"Jim rounds a number,  to one decimal place.The result is 7.2Write down the error interval for

",,
271123,"The diagram shows a rectangle.All measurements are given in centimetres.The perimeter of the rectangle is 45 cm.Work out the value of

",,
271109,"Write down an expression, in terms of , for the  term of this sequence.

",,
271133,"correct to  significant figures.Find the value of  correct to  significant figures.

",,
271134,"Show that

",,
271135,"Robert has

",,
271132,"Work out an estimate for

",,
271152,"Show that

",,
271157,"Work out the value of Give your answer in standard form.

",,
271158,"Here are a circle and a sector of the circle.They each have radius .circumference of circle = perimeter of sectorWork out the size of angle .Give your answer in terms of ....................................degrees

",,
271171,"Describe fully the single transformation that maps triangle  onto triangle

",,
271173,"Is  a straight line?Show working to support your answer.

",,
271179,"Show that can be written in the form , where  and  are integers.Show each stage of your working clearly and give the value of a and the value of .

",,
271180,"Show that  can be simplified to

",,
271182,"Write as a single fraction in its simplest form

",,
271187,"Write  as an ordinary number.

",,
271188,"Describe fully the single transformation that maps triangle  onto triangle

",,
271191,"The diagram shows a triangle and a trapezium.Prove that

",,
271201,"

",,
271206,"Show that  can be rewritten as

",,
271170,"Complete the table of values for

",,
271218,"Without using a calculator, rationalise the denominator of Simplify your answer.You must show each stage of your working.

",,
271220,"

",,
271237,"These graphs show four different proportionality relationships between  and .Match each graph with a statement in the table below.

",,
271240,"Show that

",,
271242,"Show that

",,
271217,"Circle the fraction that is equivalent to

",,
271221,"

",,
271251,"Show that

",,
271252,"Without using a calculator, work out .You must show all your working and give your answer as a mixed number in its simplest form.

",,
271254,"Show that

",,
271250,"Show that

",,
271255,"Show that

",,
271256,"Show that

",,
271258,"Show that

",,
271263,"Without using your calculator, work out .You must show all your working and give your answer as a fraction in its simplest form.

",,
271265,"Without using a calculator, work out .You must show all your working and give your answer as a fraction in its simplest form.

",,
271266,"Show that Show your working clearly.

",,
271267,"Use algebra to show that

",,
271268,"Use algebra to show that the recurring decimal

",,
271270,"Use algebra to show that the recurring decimal

",,
271271,"Show that the recurring decimal

",,
271273,"Use algebra to show that the recurring decimal

",,
271277,"

Find  when  Give your answer in standard form, correct to 4 significant figures.  = ....................................................

",,
271281,"

",,
271292,"Write as an ordinary number.

",,
271293,"A shop has a sale.A microwave oven has a sale price of £90A combination oven has a sale price of £84Which of these ovens has the greater normal price?You must show all your working.

",,
271296,"Show that

",,
271287,"Show that

",,
271301,"Write  as a single power of 5

",,
271302,"Write  as an ordinary number.

",,
271303,"Write in standard form.

",,
271305,"Show that

",,
271308,"Work out Give your answer in standard form.

",,
271310,"The table shows some information about eight planets.

",,
271314,"Write  as a power of 2.

",,
271315,"You are given that Find the value of

",,
271316,#ERROR!,,
271317,"Write 600 as a product of powers of its prime factors.Show your working clearly.

",,
271325,"Show that Show each stage of your working.

",,
271328,"Write as a single fraction in its simplest form

",,
271333,"

",,
271341,"On a farm there are chickens, ducks and pigs.The ratio of the number of chickens to the number of ducks is 7 : 2The ratio of the number of ducks to the number of pigs is 5 : 9There are 36 pigs on the farm.Work out the number of chickens on the farm.

",,
271351,"Simplify

",,
271356,"Show that   can be written as

",,
271337,"Write down one assumption that was necessary to solve this problem.

",,
271324,"is a number.As a product of prime factors in index form    Work out  as a product of prime factors in index form.Give your answer in terms of .

",,
271374,"

",,
271375,"

",,
271380,"ξ = {positive whole numbers less than 13} A = {even numbers} B = {multiples of 3} C = {prime numbers}List the members of the set

",,
271383,"Show that

",,
271386,"Write as a single fraction  Give your answer in its simplest form.

",,
271363,"Here are two sets of numbers, A and B.mean of Set A : mean of Set B = 3 : 8Work out the value of

",,
271394,"Simplify

",,
271396,"Expressas a single fraction in its simplest form.

",,
271452,"Factorise Circle your answer.

",,
271402,"Martin did this question.Here is how he answered the question.Martin's answer is wrong.Find Martin's mistake.

",,
271403,"Show that  can be written in the form  and state the value of . You must show your full working.

",,
271410,"Write your answer to part (a) correct to 4 significant figures.

",,
271411,"

",,
271413,"Work out   Give your answer in standard form, correct to 3 significant figures.

",,
271417,"Circle the expression that is equivalent to

",,
271401,"

",,
271418,"Simplify.



",,
271422,"Simplify

",,
271424,"Simplify

",,
271426,"Prove that, for any position of the cross on the number grid above,

",,
271427,"Simplify Circle your answer.

",,
271430,"Simplify

",,
271431,"Simplify

",,
271432,"Simplify fully

",,
271434,"Simplify fully

",,
271435,"Make the subject of this formula.

",,
271436,"Simplify

",,
271444,"Simplify fully

",,
271458,"Here is a right-angled triangle.Four of these triangles are joined to enclose the square  as shown below.Show that the area of the square is

",,
271462,"In a chess club, there are  boys and  girls.If 5 more boys and 8 more girls join, there would be half as many boys as girls.Show that

",,
271465,"Three identical isosceles triangles are joined to make this trapezium.Each triangle has base  cm and perpendicular height  cmWork out an expression, in terms of  and , for the area of the trapezium.Give your answer in its simplest form.......................................cm2

",,
271466,"

",,
271472,"Solve the simultaneous equations     Show clear algebraic working.

",,
271476,"Solve the simultaneous equations                             Show clear algebraic working.

",,
271477,"Work out the value of

",,
271479,"Solve the inequality

",,
271481,"Solve the inequality

",,
271482,"Solve the inequality

",,
271484,"Show the inequality  on the number line below

",,
271485,"Here is a sketch of the curve    Work out the values of  for which    Give your answer as an inequality.

",,
271486,"

",,
271487,"Solve the inequality.

",,
271488,"Martha’s solution to the inequality  is shown on the number line.Is her solution correct?Explain your reasoning.

",,
271489,"Solve the inequality

",,
271490,"Solve the inequality Show clear algebraic working.

",,
271491,"Solve the inequality

",,
271492,"Solve Show your solution on the number line.

",,
271455,"Work out the value of

",,
271498,"Find the gradient of the straight line with equation

",,
271502,"Circle the point that does not lie on the curve

",,
271504,"Complete the table of values for

",,
271506,"and  are points on the axes as shown.The area of triangle  is 28 square units.Work out possible coordinates for  and . ( ......... , .......... ) ( ......... , .......... ) ( ......... , .......... )

",,
271511,"The curve  has equation .Part of the graph of  is shown below.Write the coordinates of A.

",,
271519,"

",,
271520,"Find the gradient of the curve at the point where:

",,
271521,"

",,
271522,"For the curve with equation :find

",,
271523,"Show that the value of  that maximises the volume of the cuboid is

",,
271526,"By drawing a suitable tangent, find an estimate of the gradient of the graph when x = 1.

",,
271533,"The average rate of change of with respect to  between points  and  is worked out.Which statement is correct?Tick one box.

",,
271539,"The function  is such that where  is a constant.Given that work out the value of

",,
271540,"Give an interpretation of part (c).

",,
271543,"Express  in the form

",,
271544,"The table shows some values of  . Complete the table of values.

",,
271545,"Find Simplify your answer

",,
271548,"Express the inverse function  in the form

",,
271549,"State which value of cannot be included in the domain of f or .

",,
271550,"The function  is such that

",,
271551,"Find Simplify your answer.

",,
271555,"Circle the expression for

",,
271558,"State which values of  must be excluded from a domain of f

",,
271559,"Find f

",,
271561,"The sketch shows the lines  and Which pair of inequalities describes the shaded region?Tick one box.

",,
271562,"The region , shown shaded in the diagram, is bounded by three straight lines.Write down the three inequalities that define .

",,
271571,"[2]

",,
271563,"The shaded region in the diagram is bounded by three lines.The equation of one of the lines is given.Write down three inequalities that define the shaded region.

",,
271569,"The region , shown shaded in the diagram, is bounded by three straight lines.Write down the three inequalities that define the region .

",,
271570,"Here are six graphs.Complete the table below with the letter of the graph that could represent each given equation.Write your answers on the dotted lines.

",,
272115,"Expand and simplify

",,
271536,"The diagram shows part of the graph of  By drawing a suitable straight line, use your graph to find estimates for the solutions of

",,
271588,"Here are the equations of four straight lines.Line A     = 2 + 4Line B    2 =  + 4Line C    2 + 2 = 4Line D    2 –  = 4Two of these lines are parallel.Write down the two parallel lines?

",,
271591,"A straight linehas gradient 6andpasses through the point (3, 19)Work out the equation of the line.Give your answer in the form

",,
271609,"When Izzy finishes the 80-metre race, her speed is Work out the value of .

",,
271611,"Here is a cube with edge length cmOne diagonal is shown.Circle the length, in centimetres, of the diagonal.

",,
271581,"By drawing a suitable straight line on the grid, find estimates for the solutions of

",,
271621,"Is 299 a term of this sequence?You must give a reason for your answer.

",,
271619,"Write down an expression, in terms of , for the th term of this sequence.

",,
