ID,Section Merged,Topic,English Text Problem,English Text Solution,Section,Haochen Database ID
17242,Algebra,algebraic-proof,"Tick whether the following statement is true or false.
Give a reason for your answer.
When  is a positive integer, the value of  is always a factor of the value of .
True          False    


","True       .  As 20n is divisble by 2n for all values of n, 2n is always a factor of 20n [1]",6-algebra,765725bf-f780-424b-bfcb-3463edbd41d2
16765,Algebra,transformations-of-graphs,"The curve with equation  is transformed to give the curve with equation 
Describe the transformation.","translation 4 units down or translation −4 units in the y-axis or translation by  [1]
""translation"", direction and distance must all be stated to achieve the mark",2-algebra,8c8dc82b-af14-493c-b622-83926e92c7c3
14879,Algebra,solving-inequalities,"Solve the inequality Show your working clearly.

","Subtract  from both sides (always subtract the smaller  term, rather than the larger one).

[1]
Add 3 to both sides.

Divide both sides by 5.

 [1]
A decimal (6.8) or mixed number () are also acceptable answers.",2-algebra,485f9077-1337-4ae1-bea2-fb416f4a34ee
20379,Geometry and Measures,right-angled-triangles---pythagoras-and-trigonometry,"The diagram shows a quadrilateral .


Calculate the length of Give your answer correct to  significant figures.","You know two lengths of the right angled triangle ABD so you can use Pythagoras' theorem to find the length DB.


[1]

[1]
You now know an angle and the length of the side opposite for the right angled triangle BDC. Therefore you can use the sin ratio to find the length of the hypotenuse CD.


[1]
Multiply both sides by x and divide both sides by sin(40).

[1]
Round to 3 significant figures. Remember to include the units for the length.
 [1]",4-geometry-and-measures,
21103,Geometry and Measures,right-angled-triangles---pythagoras-and-trigonometry,"The diagram shows a quadrilateral .


Calculate the length of Give your answer correct to  significant figures.","You know two lengths of the right angled triangle ABD so you can use Pythagoras' theorem to find the length DB.


[1]

[1]
You now know an angle and the length of the side opposite for the right angled triangle BDC. Therefore you can use the sin ratio to find the length of the hypotenuse CD.


[1]
Multiply both sides by x and divide both sides by sin(40).

[1]
Round to 3 significant figures. Remember to include the units for the length.
 [1]",4-geometry-and-measures,
18605,Number and Operations,number-toolkit,"Tracey is going to choose a main course and a dessert in a cafe.She can choose from 8 main courses and 7 desserts.
Tracey says that to work out the number of different ways of choosing a main course and a dessert you add 8 and 7.
Is Tracey correct?   You must give a reason for your answer.","Tracey wants a main course AND a dessert.And means multiply the number of options together.
A main course AND a dessert: 8 × 7 = 56
Tracey is wrong as she should have multiplied [1]",1-number-operations-and-integers,
16908,Algebra,rearranging-formulae,Make the subject of   ,"Get the m terms on to one side (for example, by adding 3m to both sides) 
 
Get the m terms on their own (by subtracting 5 from both sides) 

[1]
am and 3m are not ""like"" termsFactorise m out of these two terms 

[1]
Get m on its own (by dividing both sides by a + 3) 

 [1]",2-algebra,d9de39db-ccb1-4952-a1e2-2c2bfd4679e3
17014,Algebra,rearranging-formulae,Make the subject of   ,"Get the m terms on to one side (for example, by adding 3m to both sides) 
 
Get the m terms on their own (by subtracting 5 from both sides) 

[1]
am and 3m are not ""like"" termsFactorise m out of these two terms 

[1]
Get m on its own (by dividing both sides by a + 3) 

 [1]",2-algebra,3e1fd0d0-5dc5-4ee6-9ab3-484d183e9bba
21421,Geometry and Measures,angles-in-polygons-and-parallel-lines,"
 and  are straight lines. is parallel to .
Angle Angle 
Work out the size of the angle marked .Give reasons for each stage of your working.","Find angle ABQ.
Angle ABQ + Angle BAQ + Angle AQB = 180o   (Angles in a triangle)
[1]

[1]
Find angle BQR.
Angle ABQ = Angle BQR (alternate angles)
[1]
  [1]",4-geometry-and-measures,
21247,Geometry and Measures,circles-arcs-and-sectors,"The diagram shows a sector of a circle of radius 7 cm.

Work out the length of arc .Give your answer correct to 3 significant figures.","The arc length of a sector (the length of the curved side) with radius  and angle ° is .Find the arc length by substituting  and  into the formula.

[1]
Round the answer to 3 significant figures.
The third non-zero digit is 8 and the digit following it is 6, which is 5 or more so you will need to round the 8 up. 

4.89 cm [1]Answers in the range 4.8 - 4.9 accepted",4-geometry-and-measures,
21480,Geometry and Measures,circles-arcs-and-sectors,"The diagram shows a sector of a circle of radius 7 cm.

Work out the length of arc .Give your answer correct to 3 significant figures.","The arc length of a sector (the length of the curved side) with radius  and angle ° is .Find the arc length by substituting  and  into the formula.

[1]
Round the answer to 3 significant figures.
The third non-zero digit is 8 and the digit following it is 6, which is 5 or more so you will need to round the 8 up. 

4.89 cm [1]Answers in the range 4.8 - 4.9 accepted",4-geometry-and-measures,
16607,Algebra,iteration,Show that the equation  can be arranged to give ,"Add 5 to both sides 

[1]
Factorise an x out of the two terms on the left-hand side 
 
Divide both sides by (x2 + 7) to get x on its own on the left-hand side
 [1]",2-algebra,6d3b4f7f-abbe-4aef-a1ab-e58b03e0d0d5
19375,Probability,combined-and-conditional-probability,"There are 7 blue counters, 3 green counters and 1 red counter in a bag.There are no other counters in the bag.
Hubert takes at random 2 counters from the bag.
Work out the probability that both counters are blue.","With combined probabilities 'and' usually means 'multiply'.'Both counters are blue' is the same as 'take a blue counter (7/11) AND then take another blue counter (6/10)'.(Remember that the total number of counters, and the number of blue counters, is different the second time.)So multiply those fractions together to find the answer.
 
[2]1 mark for having 11 and 10 in the denominators.  1 mark for multiplying the correct fractions together.
  [1]
Simplifying to 21/55 will also get the mark here, though it isn't necessary.",5-probability,
19602,Probability,combined-and-conditional-probability,"There are 7 blue counters, 3 green counters and 1 red counter in a bag.There are no other counters in the bag.
Hubert takes at random 2 counters from the bag.
Work out the probability that both counters are blue.","With combined probabilities 'and' usually means 'multiply'.'Both counters are blue' is the same as 'take a blue counter (7/11) AND then take another blue counter (6/10)'.(Remember that the total number of counters, and the number of blue counters, is different the second time.)So multiply those fractions together to find the answer.
 
[2]1 mark for having 11 and 10 in the denominators.  1 mark for multiplying the correct fractions together.
  [1]
Simplifying to 21/55 will also get the mark here, though it isn't necessary.",5-probability,
21468,Geometry and Measures,geometry-toolkit,"The diagram shows a solid prism.

On the centimetre square grid, draw the side elevation of the solid prism from the direction shown by the arrow.
","Shade the ""side"" faces on the diagram.

Draw an image on the grid of what the object would look like if you could only see the shaded faces.Make sure that you look at the units and draw it to scale.

5x5 square OR 5x3 rectangle OR 5x2 rectangle [1]Correct elevation with dividing line [1]
",4-geometry-and-measures,
22514,Statistics,statistics-toolkit,"Jenny works in a shop that sells belts.The table shows information about the waist sizes of customers who bought belts from the shop in May.



Belt size
Waist(  inches)
 Frequency


Small




Medium




Large




Extra Large






Calculate an estimate for the mean waist size.","To estimate the mean, we first need to add two columns to the table - one for the midpoints of the class intervals and one for the product of the frequencies (f) and the midpoints (x).
To find the midpoints, add the upper and lower class boundaries, then divide by 2.This is the same as finding the mean of the class boundaries.
Add a total row too, we will need the total of the frequency column (given in the question, 50) and the total of the fx column.



Belt size
Waist(w inches)
Frequency (f)
Midpoint (x)
fx


Small

24




Medium

12




Large

8
38
304


Extra large

6
42
252


Total
-
50
-
1684



Finding fx using midpoints [1]
An estimate for the mean () is given by the formula .

[1]

An estimate for the mean waist size is 33.69 inches [1]",6-statistics,
15725,Algebra,forming-and-solving-equations,"The diagram shows a trapezium.

 =  cm.is the same length as . is twice the length of . is 4 cm longer than .
The perimeter of the trapezium is 38 cm.Work out the length of .","The perimeter of a shape is the sum of the lengths of its sides.
Write down an expression, in terms of  for each of the lengths of the trapezium.

At least AB or DC correct [1]
Label the diagram with these expressions.

Use this to form an expression for the perimeter of the trapezium.

  [1]
Form an equation for the perimeter of the trapezium, setting it equal to 38 cm.

  [1]
Solve the equation to find .

  [1]Equivalent fraction or decimal also accepted",2-algebra,d21e15bb-cecd-4afd-b4ab-bfdd0d0c6cb5
17198,Algebra,forming-and-solving-equations,"The diagram shows a trapezium.

 =  cm.is the same length as . is twice the length of . is 4 cm longer than .
The perimeter of the trapezium is 38 cm.Work out the length of .","The perimeter of a shape is the sum of the lengths of its sides.
Write down an expression, in terms of  for each of the lengths of the trapezium.

At least AB or DC correct [1]
Label the diagram with these expressions.

Use this to form an expression for the perimeter of the trapezium.

  [1]
Form an equation for the perimeter of the trapezium, setting it equal to 38 cm.

  [1]
Solve the equation to find .

  [1]Equivalent fraction or decimal also accepted",2-algebra,1e396f03-225e-400f-bbfe-eabec01ccf83
16467,Algebra,algebra-toolkit,"Work out the values of  and  in the identity
      
 = .....................        = .....................
","Expand both brackets.

Collect 'like' terms.

[1]
Compare the left and right hand sides.The coefficient of  on the left hand side is 41.
 
The  on the left hand side must have the same value as the constant on the right hand side.Equate the two expressions and solve to find the value of .

[1]

 [1] [1]
",2-algebra,02980f57-d2cc-4896-9bc2-dda79e221cc7
18205,Number and Operations,powers-roots-and-standard-form,Write 8.2 x 105 as an ordinary number.,"8.2 × 105  = 8.2 × 10 × 10 × 10 × 10 × 10  = 8.2 × 100 000

Check your answer by counting how many times you need to move the decimal point to get from where it is in the question to where it is in the answer. n = 5 so this should be 5 units.
820 000 [1]",1-number,
18816,Algebra,powers-roots-and-standard-form,Write 8.2 x 105 as an ordinary number.,"8.2 × 105  = 8.2 × 10 × 10 × 10 × 10 × 10  = 8.2 × 100 000

Check your answer by counting how many times you need to move the decimal point to get from where it is in the question to where it is in the answer. n = 5 so this should be 5 units.
820 000 [1]",3-indices-and-surds,
16911,Algebra,sequences,"A sequence is defined by the rule 
If , calculate
i)

=............................[3]

ii)

=............................[3]","i)
We have a term-to-term rule. """" means, to find the next term multiply the current term by 5 and then subtract 15. 
 and 
Find  by substituting 6 for .

[1]

[1]
Substitute this into the formula again to find the next term, .

Answer = 60 [1] ii)
This time we need to work backwards. 
If  , then .  so substitute 6 into the formula as .

[1]
Solve to find . Start by adding 15 to both sides.

Divide both sides by 5.

[1]
 or  4.2 [1]",2-algebra,29bf083e-99e3-4534-b571-cfcb5eff0af9
17115,Algebra,sequences,"A sequence is defined by the rule 
If , calculate
i)

=............................[3]

ii)

=............................[3]","i)
We have a term-to-term rule. """" means, to find the next term multiply the current term by 5 and then subtract 15. 
 and 
Find  by substituting 6 for .

[1]

[1]
Substitute this into the formula again to find the next term, .

Answer = 60 [1] ii)
This time we need to work backwards. 
If  , then .  so substitute 6 into the formula as .

[1]
Solve to find . Start by adding 15 to both sides.

Divide both sides by 5.

[1]
 or  4.2 [1]",2-algebra,b4938204-2d1f-4b24-9c94-cb2de77c06e4
19558,Probability,combined-and-conditional-probability,"Students are asked to choose one subject from Option A and one subject from Option B.



Option A
 
Option B


EconomicsGeographyHistoryMedia Studies
 
ArtDramaEngineeringGermanGraphicsMusicPE




If a student chooses their subjects at random, what is the probability that both subjects have the same first letter?
","With combined probabilities 'and' usually means 'multiply' and 'or' usually means 'add'.'Both subjects have the same first letter' is the same as     Choose Economics (1/4) AND choose Engineering (1/7)OR     Choose Geography (1/4) AND choose German or Graphics (2/7)OR     Choose Media Studies (1/4) AND choose Music (1/7).Multiply those fractions and then add the products together to find the answer.
 
[2]1 mark for at least one correct product.  1 mark for all three correct products added together.
  [1]
Simplifying to 1/7 will also get the mark here, though it isn't necessary.Digital answers between 0.1428 and 0.143 will also get the mark.Other correct methods leading to the correct answer will also get full marks.",5-probability,
20125,Geometry and Measures,volume-and-surface-area,"A ball contains 5000 cm3 of air.
More air is pumped into the ball at a rate of 160 cm3 per second.The ball is full of air when it becomes a sphere with radius 15 cm




Volume of a sphere =where  is the radius




Does it take less than 1 minute to fill the ball?You must show your working.","Find the volume of the ball when it is full of air. Substitute the value given for the radius into the formula given for the volume of a sphere : , where  is the radius of the sphere.

[1]
Subtract the initial volume of the ball (5000 cm3) from the full volume to find the amount of air that is pumped into the ball.  

[1]
The air is pumped in at a rate of 160 cm3 per second, so divide the amount of air that is pumped in by the rate to find the number of seconds taken to fill the ball.

[1]
1 minute = 60 seconds, and 57.1 < 60 so yes, it takes less than one minute.
Yes, because  seconds [1]",4-geometry-and-measures,
21106,Geometry and Measures,volume-and-surface-area,"A ball contains 5000 cm3 of air.
More air is pumped into the ball at a rate of 160 cm3 per second.The ball is full of air when it becomes a sphere with radius 15 cm




Volume of a sphere =where  is the radius




Does it take less than 1 minute to fill the ball?You must show your working.","Find the volume of the ball when it is full of air. Substitute the value given for the radius into the formula given for the volume of a sphere : , where  is the radius of the sphere.

[1]
Subtract the initial volume of the ball (5000 cm3) from the full volume to find the amount of air that is pumped into the ball.  

[1]
The air is pumped in at a rate of 160 cm3 per second, so divide the amount of air that is pumped in by the rate to find the number of seconds taken to fill the ball.

[1]
1 minute = 60 seconds, and 57.1 < 60 so yes, it takes less than one minute.
Yes, because  seconds [1]",4-geometry-and-measures,
20339,Geometry and Measures,volume-and-surface-area,"Sumeet has a pond in the shape of a prism.

The pond is completely full of water.Sumeet wants to empty the pond so he can clean it.Sumeet uses a pump to empty the pond.
The volume of water in the pond decreases at a constant rate.The level of the water in the pond goes down by 20 cm in the first 30 minutes.
Work out how much more time Sumeet has to wait for the pump to empty the pond completely.","Calculate the area of the trapezoidal cross-section, using the formula: , where  and  are the parallel edges and  is the perpendicular height of the trapezium.

Calculate the volume of the pond by multiplying the trapezoidal cross-sectional area by the length of the prism.

[1]
The first part of the water that is drained is from a cuboidal section of the pond.Calculate the volume of water pumped out in the first 30 minutes.


[1]
Calculate the flow rate in m3 per hour, by dividing the volume pumped out by the time taken to do it in hours.

[1]
Calculate the volume of the water still to be pumped out by subtracting the volume of water that has already been pumped out from the total volume of the pond.

[1]
Calculate the time it will take to pump the remaining water out by dividing the volume of the remaining water by the flow rate.

[1]

Convert to hours and minutes.
 [1]",4-geometry-and-measures,
20854,Geometry and Measures,volume-and-surface-area,"Sumeet has a pond in the shape of a prism.

The pond is completely full of water.Sumeet wants to empty the pond so he can clean it.Sumeet uses a pump to empty the pond.
The volume of water in the pond decreases at a constant rate.The level of the water in the pond goes down by 20 cm in the first 30 minutes.
Work out how much more time Sumeet has to wait for the pump to empty the pond completely.","Calculate the area of the trapezoidal cross-section, using the formula: , where  and  are the parallel edges and  is the perpendicular height of the trapezium.

Calculate the volume of the pond by multiplying the trapezoidal cross-sectional area by the length of the prism.

[1]
The first part of the water that is drained is from a cuboidal section of the pond.Calculate the volume of water pumped out in the first 30 minutes.


[1]
Calculate the flow rate in m3 per hour, by dividing the volume pumped out by the time taken to do it in hours.

[1]
Calculate the volume of the water still to be pumped out by subtracting the volume of water that has already been pumped out from the total volume of the pond.

[1]
Calculate the time it will take to pump the remaining water out by dividing the volume of the remaining water by the flow rate.

[1]

Convert to hours and minutes.
 [1]",4-geometry-and-measures,
15150,Algebra,sequences,"Here are the first six terms of a quadratic sequence.
-1   5   15   29   47   69
Find an expression, in terms of , for the th term of this sequence.","We know it is a quadratic sequence so find the first and second differences

 examining second differences [1]
The second difference is 4 which tells us that in the nth term an2 + bn + c :

 identifying 2n2 as part of the nth term [1]
Write the sequence 2n2 and determine what needs needs to be added to it to get the given sequence

We see that to go from 2n2 to the given sequence, we subtract 3 every term therefore the nth term is
2n2 − 3 [1]",2-algebra,e849f95c-1d60-4220-8c92-0e2c507426f1
16762,Algebra,sequences,"Here are the first six terms of a quadratic sequence.
-1   5   15   29   47   69
Find an expression, in terms of , for the th term of this sequence.","We know it is a quadratic sequence so find the first and second differences

 examining second differences [1]
The second difference is 4 which tells us that in the nth term an2 + bn + c :

 identifying 2n2 as part of the nth term [1]
Write the sequence 2n2 and determine what needs needs to be added to it to get the given sequence

We see that to go from 2n2 to the given sequence, we subtract 3 every term therefore the nth term is
2n2 − 3 [1]",6-algebra,e9fa9565-ff09-4614-87b0-c915c807f26e
23439,"Ratio, Proportion, and Rates of Change",ratio-problem-solving,"Suha has a full 600 ml bottle of wallpaper remover.
She is going to mix some of the wallpaper remover with water.
Here is the information on the label of the bottle.




Wallpaper remover600 ml
Mix  of the wallpaper removerwith 4500 ml of water





Suha is going to use 750 ml of water.
How many millilitres of wallpaper remover should Suha use?You must show your working.","First multiply 600 ml by 1/4 to find the amount of wallpaper remover specified in the 'recipe' on the label.
      
[1]
Divide 750 ml by 4500 ml (the two water amounts) to find the 'scale factor' by which Suha has scaled down the recipe.
  
[1]
Multiply 150 ml (the amount of wallpaper remover specified in the recipe) by 1/6 to find the amount of wallpaper remover required in Suha's scaled-down recipe.

[1]
25 ml  [1]",3-ratio-proportion-and-rates-of-change,
23973,"Ratio, Proportion, and Rates of Change",ratio-problem-solving,"Suha has a full 600 ml bottle of wallpaper remover.
She is going to mix some of the wallpaper remover with water.
Here is the information on the label of the bottle.




Wallpaper remover600 ml
Mix  of the wallpaper removerwith 4500 ml of water





Suha is going to use 750 ml of water.
How many millilitres of wallpaper remover should Suha use?You must show your working.","First multiply 600 ml by 1/4 to find the amount of wallpaper remover specified in the 'recipe' on the label.
      
[1]
Divide 750 ml by 4500 ml (the two water amounts) to find the 'scale factor' by which Suha has scaled down the recipe.
  
[1]
Multiply 150 ml (the amount of wallpaper remover specified in the recipe) by 1/6 to find the amount of wallpaper remover required in Suha's scaled-down recipe.

[1]
25 ml  [1]",5-ratio-proportion-and-rates-of-change,
21396,Geometry and Measures,circle-theorems,"A, B, C and D are points on the circumference of a circle, centre O.
Angle BAD = 112° and angle DCO = 33°.

Show that angle y = 35°.Give reasons for each stage of your working.","Opposite angles in a cyclic quadrilateral add up to 180°, so angles BAD and BCD add up to 180°. Find angle BCD. 
Angle BAD  + Angle BCD  = 180°Angle BCD  + 112° = 180°  Angle BCD  = 180° - 112° = 68°(Opposite angles in a cyclic quadrilateral add up to 180°) 
Correct method to find angle BCD [1]Correct reason [1]
Find angle OCB.
Angle OCB + Angle OCD  = 68°Angle OCB + 33° = 68°  Angle OCB  = 68° - 33° = 35°
Correct method to find angle OCB [1]
Mark the radii OB and OC as equal lines on the diagram.
Triangle OBC is isosceles with angle OBC and angle OCB equal to each other.
Angle OBC = 35° 
y  = 35° (Base angles in an isosceles triangle are equal) [1]All working and reasons must be shown.",4-geometry-and-measures,
23951,"Ratio, Proportion, and Rates of Change",ratio-toolkit,"Last year, Katie earned £16200.Her total loan repayments were £6400.Katie estimates that the ratio of her loan repayments to her earnings is approximately 3 : 8.
Is she correct?Show your reasoning.","We're talking about an approximate ratio.So start by rounding £16200 and £6400 to the nearest £1000.That will give simpler numbers that are easier to work with.
To the nearest £1000,
£16200 = £16000
£6400 = £6000
[1]
Now write 6000 : 16000 as a ratio and simplify it.First divide by 1000, to get rid of the zeroes; this gives 6 : 16.Then divide by 2, to get into lowest terms.

[1]
This is what Katie said it was, approximately.So state your conclusion.
6400 : 16200 is approximately equal to 3 : 8.  So Katie is correct.  [1]",5-ratio-proportion-and-rates-of-change,
18301,Number and Operations,simple-and-compound-interest-growth-and-decay,"Jack has £15 000 to invest in a savings account for 3 years.
He finds information about two savings accounts.Jack wants to have as much money as possible in his savings account at the end of the 3 years.
Which of these two savings accounts should he choose?","Simple interest is where you only earn interest on the initial amount, so for the Simple account
2.3% of £15 000 = 0.023 × 15000 = £345
[1]
£345 interest is earned every year for 3 years, i.e. there is no interest earned on the interest each year (it is not 'compounded')
£15 000 + ( £345 × 3 ) = £16 035
[1]
In the Compound interest account, interest is earned on the interest each year, so there is a repeated percentage increase each year, for 3 yearsWe can use a multiplier of 1.0215 for an increase of 2.15% 
£15 000 × 1.02153 = £15 988.45
[1]
Comparing the two values
£16 035 > £15 988.45
Jack should choose the simple interest savings account [1]",1-number,
24015,"Ratio, Proportion, and Rates of Change",simple-and-compound-interest-growth-and-decay,"Jack has £15 000 to invest in a savings account for 3 years.
He finds information about two savings accounts.Jack wants to have as much money as possible in his savings account at the end of the 3 years.
Which of these two savings accounts should he choose?","Simple interest is where you only earn interest on the initial amount, so for the Simple account
2.3% of £15 000 = 0.023 × 15000 = £345
[1]
£345 interest is earned every year for 3 years, i.e. there is no interest earned on the interest each year (it is not 'compounded')
£15 000 + ( £345 × 3 ) = £16 035
[1]
In the Compound interest account, interest is earned on the interest each year, so there is a repeated percentage increase each year, for 3 yearsWe can use a multiplier of 1.0215 for an increase of 2.15% 
£15 000 × 1.02153 = £15 988.45
[1]
Comparing the two values
£16 035 > £15 988.45
Jack should choose the simple interest savings account [1]",5-ratio-proportion-and-rates-of-change,
15023,Algebra,transformations-of-graphs,"
The graph of  for values of  from  is shown above.
On the same axes, draw the graph of  for values of  from ","It may help to write  as . The ""−"" before the function means it has to be reflection in the x-axis and the ""+1"" signifies a translation by 1 unit up.
Following the order of operations BIDMAS, the ""×(−1)"" comes before the ""+ 1"" so start by reflecting (be aware that in this case, the order of transformations matters- see note after the answer for a fuller explanation). Reflect the maximum and minimum points and axis intercepts, then join the reflected points with a smooth curve.

[1]
Next translate the key points 1 up. Join the translated points with a smooth curve

[1]
It's best not to erase your ""in-between"" curve as it is worth method marks. Instead label each curve with its equation, to make it clear to the examiner which is your final answer
If you start by performing the translation, the sine curve moves one unit up so that its maximums lie on y = 2 and its minimums lie on y = 0. If you then reflect in the x-axis, you will have a different curve to the answer above; the maximums will on y = 0 and its minimums on y  = −2.
This is because what you will have actually done by reflecting last, is y = −(sinx + 1), which is equivalent to y = −sinx − 1.",2-algebra,d53c9292-9c16-42b8-b368-42aa6694a861
14219,Algebra,forming-and-solving-equations,"The diagram shows a rectangle.

All measurements are given in centimetres.
The perimeter of the rectangle is 45 cm.
Work out the value of ","The perimeter of a shape is the sum of the lengths of its sides.For a rectangle this is length + width + length + width, or 2(length + width).
Use this to form an expression for the perimeter of the rectangle.

  [1]
Form an equation for the perimeter of the rectangle, setting it equal to 45 cm.

  [1]
Simplify by first expanding the brackets and collecting the like terms.

Solve the equation to find .

  [1]",6-algebra,538bdb82-4f17-4320-814d-0e7fa1a8e17a
15249,Algebra,forming-and-solving-equations,"The diagram shows a rectangle.

All measurements are given in centimetres.
The perimeter of the rectangle is 45 cm.
Work out the value of ","The perimeter of a shape is the sum of the lengths of its sides.For a rectangle this is length + width + length + width, or 2(length + width).
Use this to form an expression for the perimeter of the rectangle.

  [1]
Form an equation for the perimeter of the rectangle, setting it equal to 45 cm.

  [1]
Simplify by first expanding the brackets and collecting the like terms.

Solve the equation to find .

  [1]",2-algebra,6135e245-20ad-4821-8994-8221090f7aea
