Section Merged,Lemma,Occurrences in Section Merged,Unique Topics in Section Merged,POS Tags
Geometry and Measures,Ali,1,1,PROPN
Geometry and Measures,Alvin,2,1,PROPN
Geometry and Measures,Amsterdam,1,1,PROPN
Geometry and Measures,Amton,1,1,PROPN
Geometry and Measures,Amy,1,1,PROPN
Geometry and Measures,Angie,1,1,PROPN
Geometry and Measures,Angle,116,9,PROPN
Geometry and Measures,Anna,1,1,PROPN
Geometry and Measures,Anne,1,1,PROPN
Geometry and Measures,Arron,1,1,PROPN
Geometry and Measures,Ashraf,1,1,PROPN
Geometry and Measures,Ava,3,1,PROPN
Geometry and Measures,Axel,1,1,PROPN
Geometry and Measures,Aysha,1,1,PROPN
Geometry and Measures,B,35,9,PROPN
Geometry and Measures,B.,19,7,PROPN
Geometry and Measures,B.He,1,1,PROPN
Geometry and Measures,B.Here,1,1,PROPN
Geometry and Measures,BAC,3,2,PROPN
Geometry and Measures,BAD,5,2,PROPN
Geometry and Measures,BAE,2,1,PROPN
Geometry and Measures,BC,17,8,PROPN
Geometry and Measures,BC.AB,1,1,PROPN
Geometry and Measures,BCD,2,2,PROPN
Geometry and Measures,BCDE,1,1,PROPN
Geometry and Measures,BCO,2,1,PROPN
Geometry and Measures,BCX.Give,2,1,PROPN
Geometry and Measures,BCircle,1,1,PROPN
Geometry and Measures,BD,6,4,PROPN
Geometry and Measures,BD.AE,1,1,PROPN
Geometry and Measures,BDQ,2,1,PROPN
Geometry and Measures,BEC,1,1,PROPN
Geometry and Measures,BF,1,1,PROPN
Geometry and Measures,BHF,2,1,PROPN
Geometry and Measures,BX,1,1,PROPN
Geometry and Measures,Barnsley,1,1,PROPN
Geometry and Measures,Barston,1,1,PROPN
Geometry and Measures,Big,2,1,PROPN
Geometry and Measures,Bill,1,1,PROPN
Geometry and Measures,Bisham,1,1,PROPN
Geometry and Measures,Bottle,1,1,PROPN
Geometry and Measures,Brian,1,1,PROPN
Geometry and Measures,Burford,1,1,PROPN
Geometry and Measures,C,11,6,PROPN
Geometry and Measures,C.,13,4,PROPN
Geometry and Measures,C.Line,2,1,PROPN
Geometry and Measures,CAB,1,1,PROPN
Geometry and Measures,CAD,7,4,PROPN
Geometry and Measures,CB,4,2,PROPN
Geometry and Measures,CBQ,1,1,PROPN
Geometry and Measures,CD,9,6,PROPN
Geometry and Measures,CD.AED,1,1,PROPN
Geometry and Measures,CD.OM,2,1,PROPN
Geometry and Measures,CDB,4,2,PROPN
Geometry and Measures,CDE,1,1,PROPN
Geometry and Measures,CEF,2,1,PROPN
Geometry and Measures,CF,3,2,PROPN
Geometry and Measures,CX,1,1,PROPN
Geometry and Measures,Calculate,7,2,PROPN
Geometry and Measures,Calvin,1,1,PROPN
Geometry and Measures,Carol,1,1,PROPN
Geometry and Measures,Chorlton,1,1,PROPN
Geometry and Measures,Church,1,1,PROPN
Geometry and Measures,Circle,36,10,PROPN
Geometry and Measures,Clay,1,1,PROPN
Geometry and Measures,Complete,1,1,PROPN
Geometry and Measures,Cube,1,1,NOUN
Geometry and Measures,Cylinder,2,1,PROPN
Geometry and Measures,D,8,4,PROPN
Geometry and Measures,D.,2,1,PROPN
Geometry and Measures,D.Angle,2,1,PROPN
Geometry and Measures,D.She,1,1,PROPN
Geometry and Measures,DAB,2,2,PROPN
Geometry and Measures,DB,1,1,PROPN
Geometry and Measures,DC,2,1,PROPN
Geometry and Measures,DCE,3,2,PROPN
Geometry and Measures,DCO,2,1,NOUN
Geometry and Measures,DE,1,1,PROPN
Geometry and Measures,DF,1,1,PROPN
Geometry and Measures,DFG,3,1,PROPN
Geometry and Measures,DX,1,1,PROPN
Geometry and Measures,Daisy,1,1,PROPN
Geometry and Measures,Delhi,1,1,PROPN
Geometry and Measures,Dubai,1,1,PROPN
Geometry and Measures,Dylan,1,1,PROPN
Geometry and Measures,E,5,3,PROPN
Geometry and Measures,E.,4,2,PROPN
Geometry and Measures,EA,1,1,PROPN
Geometry and Measures,EC,1,1,PROPN
Geometry and Measures,EDC,1,1,PROPN
Geometry and Measures,EDF,2,1,PROPN
Geometry and Measures,EF,2,2,PROPN
Geometry and Measures,EFD,2,1,PROPN
Geometry and Measures,EX,1,1,PROPN
Geometry and Measures,Earth,3,2,PROPN
Geometry and Measures,Earth?Assume,1,1,PROPN
Geometry and Measures,East,1,1,PROPN
Geometry and Measures,Emma,2,1,PROPN
Geometry and Measures,Enlarge,4,1,PROPN
Geometry and Measures,Express,6,2,PROPN
Geometry and Measures,F,4,3,PROPN
Geometry and Measures,F.,1,1,PROPN
Geometry and Measures,FDE,2,1,PROPN
Geometry and Measures,Figure,1,1,PROPN
Geometry and Measures,Frances,1,1,PROPN
Geometry and Measures,Fred,1,1,PROPN
Geometry and Measures,Fulbeck,1,1,PROPN
Geometry and Measures,GAC,1,1,PROPN
Geometry and Measures,GH,1,1,PROPN
Geometry and Measures,Ganby,1,1,PROPN
Geometry and Measures,Gary,2,1,PROPN
Geometry and Measures,Gavin,1,1,PROPN
Geometry and Measures,Grass,1,1,PROPN
Geometry and Measures,Gravel,1,1,PROPN
Geometry and Measures,Green,1,1,PROPN
Geometry and Measures,Gretna,1,1,PROPN
Geometry and Measures,HDF,2,1,PROPN
Geometry and Measures,Hasmeet,2,1,PROPN
Geometry and Measures,Hector,2,1,PROPN
Geometry and Measures,Helen,1,1,PROPN
Geometry and Measures,Henry,1,1,PROPN
Geometry and Measures,High,1,1,PROPN
Geometry and Measures,Hightown,1,1,PROPN
Geometry and Measures,Horton,1,1,PROPN
Geometry and Measures,House,1,1,PROPN
Geometry and Measures,Ibrar,1,1,PROPN
Geometry and Measures,Imran,4,1,PROPN
Geometry and Measures,Insert,3,2,PROPN
Geometry and Measures,Irfan,2,1,PROPN
Geometry and Measures,Ivana,1,1,PROPN
Geometry and Measures,J,2,1,PROPN
Geometry and Measures,James,1,1,PROPN
Geometry and Measures,Jamil,1,1,PROPN
Geometry and Measures,Jane,5,3,PROPN
Geometry and Measures,Janet,1,1,PROPN
Geometry and Measures,Janie,1,1,PROPN
Geometry and Measures,Jay,1,1,PROPN
Geometry and Measures,Jeremy,1,1,PROPN
Geometry and Measures,Jim,1,1,PROPN
Geometry and Measures,Jodie,1,1,PROPN
Geometry and Measures,Jon,1,1,PROPN
Geometry and Measures,Junction,1,1,PROPN
Geometry and Measures,Jupiter,1,1,PROPN
Geometry and Measures,K.,1,1,PROPN
Geometry and Measures,Kanpur,1,1,PROPN
Geometry and Measures,Karen,2,1,PROPN
Geometry and Measures,Kevin,1,1,PROPN
Geometry and Measures,Kuwait,1,1,PROPN
Geometry and Measures,Kyle,1,1,PROPN
Geometry and Measures,L,1,1,PROPN
Geometry and Measures,LAngle,1,1,PROPN
Geometry and Measures,LMNP,1,1,NOUN
Geometry and Measures,LP,1,1,PROPN
Geometry and Measures,Label,4,2,PROPN
Geometry and Measures,Lawn,1,1,PROPN
Geometry and Measures,Leah,1,1,PROPN
Geometry and Measures,Leeds,1,1,PROPN
Geometry and Measures,Lethna,1,1,PROPN
Geometry and Measures,Levi,1,1,PROPN
Geometry and Measures,Liverpool,1,1,PROPN
Geometry and Measures,Liz,3,1,PROPN
Geometry and Measures,London,6,2,PROPN
Geometry and Measures,Lyn,2,1,PROPN
Geometry and Measures,M,6,2,PROPN
Geometry and Measures,M.V,1,1,PROPN
Geometry and Measures,MAngle,1,1,PROPN
Geometry and Measures,Manchester,6,2,PROPN
Geometry and Measures,Mark,5,3,PROPN
Geometry and Measures,Mars,2,1,PROPN
Geometry and Measures,Martin,2,2,PROPN
Geometry and Measures,Mary,1,1,PROPN
Geometry and Measures,May,2,1,PROPN
Geometry and Measures,Metal,1,1,PROPN
Geometry and Measures,Monty,1,1,PROPN
Geometry and Measures,More,1,1,ADJ
Geometry and Measures,Mr,1,1,PROPN
Geometry and Measures,N,2,1,PROPN
Geometry and Measures,NAngle,1,1,PROPN
Geometry and Measures,Neil,1,1,PROPN
Geometry and Measures,New,1,1,PROPN
Geometry and Measures,North,1,1,PROPN
Geometry and Measures,O,2,1,PROPN
Geometry and Measures,O.,14,4,PROPN
Geometry and Measures,O.AC,2,1,PROPN
Geometry and Measures,O.CA,3,2,PROPN
Geometry and Measures,O.M,2,1,PROPN
Geometry and Measures,OAB,7,4,PROPN
Geometry and Measures,OAC,3,2,PROPN
Geometry and Measures,OB,1,1,PROPN
Geometry and Measures,OBC,3,2,PROPN
Geometry and Measures,OC,1,1,PROPN
Geometry and Measures,OCD,2,1,PROPN
Geometry and Measures,OD,1,1,PROPN
Geometry and Measures,ODC,2,1,PROPN
Geometry and Measures,OE,1,1,PROPN
Geometry and Measures,OED,1,1,PROPN
Geometry and Measures,ON,2,1,PROPN
Geometry and Measures,OX,2,1,PROPN
Geometry and Measures,OZ,2,1,PROPN
Geometry and Measures,Olly,1,1,PROPN
Geometry and Measures,Omondi,1,1,PROPN
Geometry and Measures,P,9,6,PROPN
Geometry and Measures,P.,2,2,PROPN
Geometry and Measures,PB,1,1,PROPN
Geometry and Measures,PC,1,1,PROPN
Geometry and Measures,PQ,3,2,PROPN
Geometry and Measures,PQR,2,2,PROPN
Geometry and Measures,PQS,1,1,PROPN
Geometry and Measures,PSR,1,1,PROPN
Geometry and Measures,PT,1,1,PROPN
Geometry and Measures,PTQ,1,1,PROPN
Geometry and Measures,PTS,1,1,PROPN
Geometry and Measures,Pablo,1,1,PROPN
Geometry and Measures,Packer,3,1,PROPN
Geometry and Measures,Paris,2,2,PROPN
Geometry and Measures,People,1,1,NOUN
Geometry and Measures,Peter,3,1,PROPN
Geometry and Measures,Point,3,1,PROPN
Geometry and Measures,Points,2,1,PROPN
Geometry and Measures,Pythagoras,1,1,PROPN
Geometry and Measures,Q,5,2,PROPN
Geometry and Measures,Q.,3,2,PROPN
Geometry and Measures,QDC,1,1,PROPN
Geometry and Measures,QRS,1,1,PROPN
Geometry and Measures,QRST,1,1,PROPN
Geometry and Measures,Quadrilaterals,1,1,PROPN
Geometry and Measures,R,4,2,PROPN
Geometry and Measures,R.,2,1,PROPN
Geometry and Measures,R.Shape,1,1,PROPN
Geometry and Measures,RHS,5,1,PROPN
Geometry and Measures,Raksha,1,1,PROPN
Geometry and Measures,Rectangle,1,1,PROPN
Geometry and Measures,Rome,1,1,PROPN
Geometry and Measures,Roy,1,1,PROPN
Geometry and Measures,S,6,3,PROPN
Geometry and Measures,S.,1,1,PROPN
Geometry and Measures,SAS,5,1,PROPN
Geometry and Measures,SSS,5,1,PROPN
Geometry and Measures,Sally,3,1,PROPN
Geometry and Measures,Sam,3,2,PROPN
Geometry and Measures,Saphia,1,1,PROPN
Geometry and Measures,Sarah,1,1,PROPN
Geometry and Measures,Scale,9,1,PROPN
Geometry and Measures,Sean,2,1,PROPN
Geometry and Measures,Sector,2,1,PROPN
Geometry and Measures,Shade,2,1,PROPN
Geometry and Measures,Shape,5,2,PROPN
Geometry and Measures,Sheffield,2,1,PROPN
Geometry and Measures,Ship,1,1,PROPN
Geometry and Measures,Show,27,9,PROPN
Geometry and Measures,Simon,1,1,PROPN
Geometry and Measures,Sophie,1,1,PROPN
Geometry and Measures,South,2,1,PROPN
Geometry and Measures,Square,2,2,PROPN
Geometry and Measures,Stanley,2,1,PROPN
Geometry and Measures,Steph,1,1,PROPN
Geometry and Measures,Steve,2,1,PROPN
Geometry and Measures,Street,3,1,PROPN
Geometry and Measures,Sue,1,1,PROPN
Geometry and Measures,Sumeet,2,2,PROPN
Geometry and Measures,Sunita,1,1,PROPN
Geometry and Measures,T,4,2,PROPN
Geometry and Measures,Tame,1,1,PROPN
Geometry and Measures,Tia,3,1,PROPN
Geometry and Measures,Tick,8,4,PROPN
Geometry and Measures,Tim,4,2,PROPN
Geometry and Measures,Translate,2,1,PROPN
Geometry and Measures,Trapezium,3,2,PROPN
Geometry and Measures,Triangle,7,3,PROPN
Geometry and Measures,Trianglehas,2,1,PROPN
Geometry and Measures,U.,1,1,PROPN
Geometry and Measures,Use,3,2,PROPN
Geometry and Measures,VA,1,1,PROPN
Geometry and Measures,VABCD,2,1,PROPN
Geometry and Measures,VM,3,2,PROPN
Geometry and Measures,Valley,1,1,PROPN
Geometry and Measures,Vase,3,1,PROPN
Geometry and Measures,Vector,1,1,PROPN
Geometry and Measures,Vicky,1,1,PROPN
Geometry and Measures,Water,2,2,PROPN
Geometry and Measures,Weaver,1,1,PROPN
Geometry and Measures,Wheel,2,1,PROPN
Geometry and Measures,Work,12,8,PROPN
Geometry and Measures,Write,2,2,PROPN
Geometry and Measures,XY,2,1,PROPN
Geometry and Measures,YZ,3,2,PROPN
Geometry and Measures,York,1,1,PROPN
Geometry and Measures,Yuen,1,1,PROPN
Geometry and Measures,Zahra,1,1,PROPN
Geometry and Measures,Zak,3,1,PROPN
Geometry and Measures,a,38,11,NOUN
Geometry and Measures,a.,11,5,NOUN
Geometry and Measures,a.give,1,1,ADJ
Geometry and Measures,ab,9,6,NOUN
Geometry and Measures,abcde.the,1,1,NOUN
Geometry and Measures,about,1,1,ADV
Geometry and Measures,above,5,3,ADV
Geometry and Measures,accuracy,1,1,NOUN
Geometry and Measures,accurate,4,3,ADJ
Geometry and Measures,achieve,1,1,VERB
Geometry and Measures,act,1,1,NOUN
Geometry and Measures,actually,1,1,ADV
Geometry and Measures,acute,9,2,ADJ
Geometry and Measures,ad,11,6,NOUN
Geometry and Measures,adc,1,1,NOUN
Geometry and Measures,add,5,3,VERB
Geometry and Measures,advise,1,1,VERB
Geometry and Measures,af,2,1,NOUN
Geometry and Measures,affect,6,4,VERB
Geometry and Measures,again,1,1,ADV
Geometry and Measures,air,1,1,NOUN
Geometry and Measures,aircraft,1,1,NOUN
Geometry and Measures,airport,7,2,"NOUN, PROPN"
Geometry and Measures,allow,1,1,VERB
Geometry and Measures,alloy,2,1,NOUN
Geometry and Measures,along,1,1,ADV
Geometry and Measures,also,8,6,ADV
Geometry and Measures,always,2,1,ADV
Geometry and Measures,am,1,1,NOUN
Geometry and Measures,amount,2,2,NOUN
Geometry and Measures,andare,4,1,PROPN
Geometry and Measures,angle,258,12,"NOUN, PROPN, VERB"
Geometry and Measures,angled,46,9,ADJ
Geometry and Measures,answer,339,14,"NOUN, VERB"
Geometry and Measures,answer.(1,1,1,PROPN
Geometry and Measures,anticlockwise,5,2,"ADJ, ADV, NOUN"
Geometry and Measures,antifreeze,1,1,NOUN
Geometry and Measures,apple,1,1,NOUN
Geometry and Measures,appropriate,2,2,ADJ
Geometry and Measures,arc,15,4,NOUN
Geometry and Measures,area,208,13,NOUN
Geometry and Measures,arecm,1,1,NOUN
Geometry and Measures,arrange,1,1,VERB
Geometry and Measures,arrive,5,3,VERB
Geometry and Measures,arrow,6,2,NOUN
Geometry and Measures,as,1,1,ADV
Geometry and Measures,ask,1,1,VERB
Geometry and Measures,assume,12,6,VERB
Geometry and Measures,assumption,3,3,NOUN
Geometry and Measures,at,1,1,ADV
Geometry and Measures,available,1,1,ADJ
Geometry and Measures,average,20,3,"ADJ, NOUN"
Geometry and Measures,away,2,1,ADV
Geometry and Measures,awhole,2,1,ADJ
Geometry and Measures,ax,2,2,NOUN
Geometry and Measures,axis,3,2,NOUN
Geometry and Measures,b,40,11,"NOUN, PROPN"
Geometry and Measures,b.,3,1,PROPN
Geometry and Measures,b.give,1,1,NOUN
Geometry and Measures,b?to,1,1,NOUN
Geometry and Measures,bag,11,3,NOUN
Geometry and Measures,ball,1,1,NOUN
Geometry and Measures,ball?you,1,1,NOUN
Geometry and Measures,band,1,1,NOUN
Geometry and Measures,bar,4,2,NOUN
Geometry and Measures,base,63,6,"ADJ, NOUN, VERB"
Geometry and Measures,basedpyramid,4,1,"NOUN, PROPN"
Geometry and Measures,basis,1,1,NOUN
Geometry and Measures,basket,2,1,NOUN
Geometry and Measures,be,21,7,VERB
Geometry and Measures,bearing,33,4,NOUN
Geometry and Measures,become,1,1,VERB
Geometry and Measures,bed,2,1,NOUN
Geometry and Measures,below,40,11,ADV
Geometry and Measures,big,5,2,ADJ
Geometry and Measures,bind,2,1,VERB
Geometry and Measures,birthday,2,2,NOUN
Geometry and Measures,bisect,8,4,"NOUN, VERB"
Geometry and Measures,bisector,6,1,NOUN
Geometry and Measures,black,1,1,ADJ
Geometry and Measures,block,8,3,NOUN
Geometry and Measures,boat,3,1,NOUN
Geometry and Measures,both,1,1,ADV
Geometry and Measures,bottle,5,3,NOUN
Geometry and Measures,bottom,3,3,"ADJ, NOUN"
Geometry and Measures,bound,1,1,VERB
Geometry and Measures,boundary,2,1,NOUN
Geometry and Measures,box,26,8,NOUN
Geometry and Measures,break,1,1,NOUN
Geometry and Measures,brick,2,1,NOUN
Geometry and Measures,build,6,1,VERB
Geometry and Measures,building,2,2,NOUN
Geometry and Measures,buoy,2,1,NOUN
Geometry and Measures,buy,17,5,VERB
Geometry and Measures,buy?You,1,1,PROPN
Geometry and Measures,c,32,8,"NOUN, PROPN"
Geometry and Measures,c.,1,1,NOUN
Geometry and Measures,cab,1,1,NOUN
Geometry and Measures,cake,1,1,NOUN
Geometry and Measures,calculate,152,12,VERB
Geometry and Measures,calculation,5,4,NOUN
Geometry and Measures,calculator,1,1,NOUN
Geometry and Measures,call,5,1,VERB
Geometry and Measures,carbonated,1,1,ADJ
Geometry and Measures,card,6,3,NOUN
Geometry and Measures,caretaker,1,1,NOUN
Geometry and Measures,carpet,3,1,NOUN
Geometry and Measures,carrot,1,1,NOUN
Geometry and Measures,carry,2,1,VERB
Geometry and Measures,carton,1,1,NOUN
Geometry and Measures,catch,1,1,VERB
Geometry and Measures,cd,9,6,NOUN
Geometry and Measures,cd.the,1,1,NOUN
Geometry and Measures,centimetre,32,9,NOUN
Geometry and Measures,centre,139,14,"NOUN, PROPN"
Geometry and Measures,cg,2,1,NOUN
Geometry and Measures,change,5,2,"NOUN, VERB"
Geometry and Measures,charge,1,1,NOUN
Geometry and Measures,checkpoint,2,1,"NOUN, VERB"
Geometry and Measures,cheese,2,1,NOUN
Geometry and Measures,chord,5,2,NOUN
Geometry and Measures,church,2,1,NOUN
Geometry and Measures,circle,183,13,"NOUN, VERB"
Geometry and Measures,circle?tick,2,1,NOUN
Geometry and Measures,circuit,1,1,NOUN
Geometry and Measures,circuit?You,1,1,NOUN
Geometry and Measures,circular,5,2,ADJ
Geometry and Measures,circumference,55,5,NOUN
Geometry and Measures,city,2,1,NOUN
Geometry and Measures,claim,2,1,"NOUN, VERB"
Geometry and Measures,clay,1,1,NOUN
Geometry and Measures,clean,2,2,VERB
Geometry and Measures,clearly,11,6,ADV
Geometry and Measures,cliff,4,1,NOUN
Geometry and Measures,clockwise,2,1,"ADJ, NOUN"
Geometry and Measures,close,7,2,"ADJ, ADV, VERB"
Geometry and Measures,cm,187,12,"NOUN, PROPN"
Geometry and Measures,cm.=,3,1,NOUN
Geometry and Measures,cm2,42,9,"ADJ, NOUN, PROPN"
Geometry and Measures,cm2.the,4,2,NOUN
Geometry and Measures,cm2.you,1,1,NOUN
Geometry and Measures,cm2cube,1,1,NOUN
Geometry and Measures,cm2the,1,1,NOUN
Geometry and Measures,cm2work,6,3,"NOUN, VERB"
Geometry and Measures,cm2you,2,1,NOUN
Geometry and Measures,cm3,38,5,"ADJ, NOUN, VERB"
Geometry and Measures,cm3.Liquid,1,1,PROPN
Geometry and Measures,cm3.Metal,1,1,PROPN
Geometry and Measures,cm3.The,2,1,PROPN
Geometry and Measures,cm3.Tin,1,1,PROPN
Geometry and Measures,cm3.calculate,3,1,NOUN
Geometry and Measures,cm3.the,1,1,NOUN
Geometry and Measures,cm3The,2,2,PROPN
Geometry and Measures,cm3calculate,2,1,ADJ
Geometry and Measures,cm=,4,2,PROPN
Geometry and Measures,cmB,1,1,PROPN
Geometry and Measures,cmThe,1,1,VERB
Geometry and Measures,cmangle,3,2,NOUN
Geometry and Measures,cmc,1,1,NOUN
Geometry and Measures,cmhow,1,1,NOUN
Geometry and Measures,cmt,1,1,NOUN
Geometry and Measures,cmthe,2,2,NOUN
Geometry and Measures,coast,2,1,NOUN
Geometry and Measures,coat,1,1,NOUN
Geometry and Measures,column,8,1,NOUN
Geometry and Measures,common,5,2,ADJ
Geometry and Measures,company,5,4,NOUN
Geometry and Measures,compass,13,1,NOUN
Geometry and Measures,complete,8,5,"ADJ, VERB"
Geometry and Measures,completely,6,3,ADV
Geometry and Measures,completely?give,1,1,ADJ
Geometry and Measures,compost,1,1,NOUN
Geometry and Measures,concrete,1,1,NOUN
Geometry and Measures,condition,1,1,NOUN
Geometry and Measures,cone,29,4,NOUN
Geometry and Measures,cone.[The,2,1,PROPN
Geometry and Measures,cone.[the,1,1,ADJ
Geometry and Measures,conference,1,1,NOUN
Geometry and Measures,congruent,34,7,ADJ
Geometry and Measures,congruent?circle,1,1,NOUN
Geometry and Measures,congruent?give,1,1,VERB
Geometry and Measures,conservatory,1,1,NOUN
Geometry and Measures,consist,4,2,VERB
Geometry and Measures,constant,9,3,ADJ
Geometry and Measures,construct,14,1,VERB
Geometry and Measures,construction,16,1,NOUN
Geometry and Measures,contact,2,1,NOUN
Geometry and Measures,contain,4,2,VERB
Geometry and Measures,container,5,1,NOUN
Geometry and Measures,continue,2,2,VERB
Geometry and Measures,coordinate,7,3,NOUN
Geometry and Measures,corner,6,5,NOUN
Geometry and Measures,correct,206,14,ADJ
Geometry and Measures,cos30,2,1,"ADJ, NOUN"
Geometry and Measures,cosincrease,1,1,NOUN
Geometry and Measures,cost,26,4,"NOUN, VERB"
Geometry and Measures,cover,14,5,VERB
Geometry and Measures,crate,4,2,NOUN
Geometry and Measures,criticism,3,2,NOUN
Geometry and Measures,cross,36,10,"NOUN, VERB"
Geometry and Measures,cube,17,3,"NOUN, VERB"
Geometry and Measures,cubic,1,1,ADJ
Geometry and Measures,cubie,1,1,NOUN
Geometry and Measures,cuboid,41,5,"ADJ, NOUN"
Geometry and Measures,cuboid?show,1,1,NOUN
Geometry and Measures,cup,2,1,NOUN
Geometry and Measures,curved,10,3,ADJ
Geometry and Measures,cut,8,4,VERB
Geometry and Measures,cycle,2,1,VERB
Geometry and Measures,cyclic,6,2,ADJ
Geometry and Measures,cylinder,25,3,NOUN
Geometry and Measures,d,26,7,"NOUN, PROPN"
Geometry and Measures,dash,3,2,VERB
Geometry and Measures,day,4,1,NOUN
Geometry and Measures,day?Show,1,1,VERB
Geometry and Measures,dc,2,1,NOUN
Geometry and Measures,decagon,7,1,NOUN
Geometry and Measures,decide,5,4,VERB
Geometry and Measures,decimal,64,8,ADJ
Geometry and Measures,decision,1,1,NOUN
Geometry and Measures,decoration,1,1,NOUN
Geometry and Measures,decrease,6,2,VERB
Geometry and Measures,decrease?you,1,1,NOUN
Geometry and Measures,deduce,2,1,VERB
Geometry and Measures,deep,1,1,ADJ
Geometry and Measures,definitely,1,1,ADV
Geometry and Measures,degree,32,8,"NOUN, VERB"
Geometry and Measures,density,15,2,NOUN
Geometry and Measures,density?circle,2,1,NOUN
Geometry and Measures,depart,2,1,VERB
Geometry and Measures,depression,1,1,NOUN
Geometry and Measures,depth,6,3,NOUN
Geometry and Measures,describe,22,2,VERB
Geometry and Measures,design,2,2,NOUN
Geometry and Measures,determine,2,2,VERB
