English Text Problem,Section Merged,Section,Topic
"Simplify fully.

",Algebra,2-algebra,algebraic-roots-and-indices
"Expand and simplify.
",Algebra,6-algebra,expanding-brackets
"i)
Find the th term of sequence C in its simplest form.
[2]

ii)
Find the 8th term of sequence C.
[1]",Algebra,6-algebra,sequences
"In all the following sequences, after the first two terms, the rule is to add the previous two terms to find the next term.
Write down the next two terms in this sequence.
1      1      2      3      5      8      13      ........      ........",Algebra,6-algebra,sequences
"Considering your results in part (a), suggest what will happen to the number of rabbits on the farm after a long time.",Algebra,6-algebra,sequences
"The number of bees in a beehive at the start of year  is .The number of bees in the beehive at the start of the following year is given by

At the start of 2015 there were 9500 bees in the beehive.
How many bees will there be in the beehive at the start of 2018?",Algebra,6-algebra,sequences
"Write down the first two terms of this sequence.
.........       .........     3      11      14",Algebra,6-algebra,simultaneous-equations
"Show that  can be written in the form  where  is an integer.
",Algebra,2-algebra,algebraic-fractions
"Solve the equation 
Give your solutions correct to  decimal places.",Algebra,6-algebra,solving-quadratic-equations
"is a line segment.
The midpoint of the line segment has coordinates (3, 5)Point has coordinates (9, 2)
Work out the coordinates of point .",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"Complete the table of values for 















 
 

 
 
 


",Algebra,2-algebra,graphs-of-functions
"The equation 2x2 + x − 4 = 0 can be solved by finding the intersection of the graph of y = 2x2 + 3x − 9  and the line y = ax + b.
i)
Find the value of a and the value of b.

 ii)

Hence use the graph to solve the equation 2x2 + x − 4 = 0.
x = ............................ or x = ............................[3]
",Algebra,2-algebra,graphs-of-functions
Write down the value of ,Algebra,2-algebra,graphs-of-functions
"The first three terms of a different Fibonacci sequence are


Show that the th term of this sequence is ",Algebra,6-algebra,sequences
"i)
Write  in the form . 
[2] ii)
Use your answer to part (i) to solve the equation . 
................... or ................... [2]",Algebra,2-algebra,completing-the-square
"Write  in the form 
",Algebra,2-algebra,completing-the-square
Expand and simplify                ,Algebra,2-algebra,expanding-brackets
Make the subject of the formula   ,Algebra,2-algebra,rearranging-formulae
"Work out the length .
Give your answer in the form  where  is an integer.You must show your working.
....................................units",Algebra,2-algebra,equation-of-a-circle
"

 is a rhombus.The coordinates of  are The equation of the diagonal  is Find an equation of the diagonal .",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
Work out the value of .,Algebra,2-algebra,algebraic-roots-and-indices
"For all values of 

On the grid, draw the graph of the composite function    for  

",Algebra,2-algebra,transformations-of-graphs
"
Work out the values of the integers and .
",Algebra,2-algebra,expanding-brackets
"The line  is shown on the grid.

Find an equation for .",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"The line with equation  intersects the curve with equation  at the points  and Find the coordinates of  and the coordinates of Show clear algebraic working.
",Algebra,2-algebra,simultaneous-equations
"Complete the statement. When  ............... , .",Algebra,6-algebra,algebra-toolkit
"This graph shows the world population, in billions, between 1951 and 2015.

Use the graph to estimate the average rate of growth of the world population between 1951 and 2015.Give suitable units for your answer.",Algebra,2-algebra,real-life-graphs
"
Work out the two possible values of .
",Algebra,2-algebra,expanding-brackets
 is an integer.Write down all the values of  such that,Algebra,6-algebra,solving-inequalities
"Express as a single fraction.

Simplify your answer.
",Algebra,2-algebra,algebraic-proof
"Write as a single fraction  
Give your answer in its simplest form.",Algebra,6-algebra,algebraic-fractions
"Expand and simplify.
",Algebra,6-algebra,expanding-brackets
"On the grid, construct the graph of 
",Algebra,2-algebra,graphs-of-functions
"A sequence of numbers is formed by the iterative process
         
Work out the values of  and 
",Algebra,2-algebra,iteration
"A straight line
has gradient 6andpasses through the point (3, 19)
Work out the equation of the line.Give your answer in the form 
",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
Factorise  ,Algebra,6-algebra,factorising
"Write  as a power of 2 in terms of 
",Algebra,2-algebra,algebraic-roots-and-indices
"Rearrange  to make  the subject.
Circle your answer.










",Algebra,6-algebra,rearranging-formulae
"Solve 
",Algebra,2-algebra,solving-inequalities
"The curve with equation  is transformed to the curve with equation  by the single transformation 
Describe fully the transformation ",Algebra,2-algebra,transformations-of-graphs
"
The graph of  for values of  from  is shown above.
On the same axes, draw the graph of  for values of  from ",Algebra,2-algebra,graphs-of-functions
Factorise           ,Algebra,2-algebra,factorising
"By drawing a suitable straight line on the grid, find estimates for the solutions of
",Algebra,2-algebra,graphs-of-functions
"Here is a right-angled triangle.

Four of these triangles are joined to enclose the square  as shown below.
Show that the area of the square is ",Algebra,6-algebra,forming-and-solving-equations
"The diagram shows the graph of  for 

Note: Point P in the graph is from the previous question. It is not required for this question.
The equation  has exactly two different solutions for 
Use the graph to find the two possible values of .
",Algebra,2-algebra,graphs-of-functions
"
Work out the value of .
",Algebra,2-algebra,algebraic-roots-and-indices
"



Question:Solve, giving your answers correct to 3 significant figures.

Solution:

Therefore  or 





Error: .....................................................................Correct solution:
",Algebra,2-algebra,solving-quadratic-equations
"Circle the expression equivalent to 










",Algebra,2-algebra,algebraic-roots-and-indices
Factorise  ,Algebra,6-algebra,factorising
" is 3 more than the square root of .Circle the correct equation.











",Algebra,6-algebra,forming-and-solving-equations
"Write 
as a single fraction in its simplest form.Show clear algebraic working.",Algebra,6-algebra,algebraic-fractions
Simplify       ,Algebra,2-algebra,algebraic-roots-and-indices
"
Work out the value of  
",Algebra,2-algebra,functions
"Solve the simultaneous equations

",Algebra,2-algebra,simultaneous-equations
"Make  the subject of 
",Algebra,2-algebra,rearranging-formulae
Solve   ,Algebra,6-algebra,linear-equations
Make  the subject of the formula ,Algebra,2-algebra,rearranging-formulae
"Given that  , find the value of .
 = ...................",Algebra,2-algebra,algebraic-roots-and-indices
Expand and simplify  ,Algebra,6-algebra,expanding-brackets
"Solve      
Give your solutions correct to  significant figures.",Algebra,2-algebra,solving-quadratic-equations
"  and     
Simplify 
",Algebra,2-algebra,functions
"Here is the graph of 

On the grid above, draw the graph of 
",Algebra,2-algebra,transformations-of-graphs
"Show, by shading on the grid, the region defined by all three of the inequalities









Label the region 


",Algebra,2-algebra,graphing-inequalities
Factorise                      ,Algebra,2-algebra,factorising
Factorise  ,Algebra,2-algebra,factorising
"
Work out the value of  when ",Algebra,6-algebra,algebra-toolkit
Solve ,Algebra,6-algebra,solving-inequalities
Make  the subject of the formula  ,Algebra,2-algebra,rearranging-formulae
"Is 299 a term of this sequence?
You must give a reason for your answer.",Algebra,2-algebra,sequences
Use your graph to find estimates of the solutions to the equation ,Algebra,2-algebra,graphs-of-functions
"Here are two inequalities.

 and  are integers.Work out the greatest possible value of 
",Algebra,2-algebra,solving-inequalities
"Simplify fully 
",Algebra,2-algebra,algebraic-fractions
"The diagram shows a trapezium.

All the measurements are in centimetres.
The area of the trapezium is 351 cm2.
Show that  ",Algebra,2-algebra,forming-and-solving-equations
Solve  ,Algebra,6-algebra,linear-equations
"The equation  has a solution between  and .
Find this solution correct to 1 decimal place.Show your working. 
x = ......................................................",Algebra,6-algebra,iteration
"The diagram shows a rectangle.

All measurements are given in centimetres.
The perimeter of the rectangle is 45 cm.
Work out the value of ",Algebra,2-algebra,forming-and-solving-equations
Factorise         ,Algebra,6-algebra,factorising
" and  are parallel lines.
The equation of  is  passes through the point  .
Find an equation for .",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"
Make  the subject of the formula.",Algebra,2-algebra,rearranging-formulae
Expand and simplify     ,Algebra,6-algebra,expanding-brackets
"
Work out the value of  when  and ",Algebra,2-algebra,algebra-toolkit
Simplify    ,Algebra,2-algebra,algebraic-roots-and-indices
Expand and simplify         ,Algebra,2-algebra,expanding-brackets
Expand and simplify      ,Algebra,2-algebra,expanding-brackets
"Simplify  Circle your answer.











",Algebra,2-algebra,algebraic-fractions
"Given that ,
show that ",Algebra,2-algebra,functions
"Solve  
",Algebra,2-algebra,solving-inequalities
"Steve is asked to solve the equation 
Here is his working.

Steve's answer is wrong.
What mistake did he make?",Algebra,2-algebra,linear-equations
"Here are the heights, in cm, of 18 children.



98
90
84
102
115
91


88
91
108
110
97
93


90
89
103
95
92
106




Show this information in an ordered stem and leaf diagram.",Statistics,6-statistics,statistical-diagrams
"Write  in the form 
",Algebra,2-algebra,completing-the-square
"The curve  is shown on the grid.

By drawing a suitable tangent, find an estimate of the gradient of the curve when x = 1.",Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
"
Circle the expression for










",Algebra,2-algebra,functions
Find Simplify your answer.,Algebra,2-algebra,functions
"Solve the inequalities  









",Algebra,6-algebra,solving-inequalities
Expand and simplify      ,Algebra,6-algebra,expanding-brackets
"The first five terms of a sequence are 4, 9, 16, 25, 36, .....Find
the 10th term,",Algebra,6-algebra,sequences
Solve   ,Algebra,2-algebra,solving-inequalities
Solve the inequality ,Algebra,2-algebra,solving-inequalities
"Solve the equation.   
 = .............................................",Algebra,2-algebra,linear-equations
"Show that  can be expressed as .
",Algebra,2-algebra,algebraic-roots-and-indices
"Make  the subject of the formula
",Algebra,2-algebra,algebra-toolkit
"Circle the expression that is equivalent to    










",Algebra,2-algebra,algebraic-roots-and-indices
"Solve     
Write your answer in the form  where and are integers.",Algebra,6-algebra,solving-quadratic-equations
Show that  can be written in the form    where  and  are integers.,Algebra,6-algebra,expanding-brackets
"Circle the point that does not lie on the curve   










",Algebra,2-algebra,coordinate-geometry
"Starting with  , use the iteration formula twice ,to find an estimate for the solution of  ",Algebra,2-algebra,iteration
"Circle the expression that is equivalent to 










",Algebra,6-algebra,algebra-toolkit
"Write  in the form 
",Algebra,2-algebra,graphs-of-functions
"Make  the subject of        
",Algebra,2-algebra,rearranging-formulae
"and  are positive values.
Show that   always simplifies to the same value.
",Algebra,6-algebra,algebra-toolkit
"The equation of a curve is  is the point where the curve intersects the -axis.
State the coordinates of .",Algebra,2-algebra,transformations-of-graphs
 is the curve with equationThe point  is the maximum point on Use your answer to part (a) to write down the coordinates of ,Algebra,2-algebra,completing-the-square
"Make the subject of 
",Algebra,2-algebra,rearranging-formulae
"Given that  and  are integers,
express   in the form ",Algebra,6-algebra,completing-the-square
"Solve the simultaneous equations.
",Algebra,6-algebra,simultaneous-equations
"Write  as a single power of 3
",Algebra,2-algebra,algebraic-roots-and-indices
Solve      ,Algebra,6-algebra,linear-equations
"Here are six graphs.

Complete the table below with the letter of the graph that could represent each given equation.Write your answers on the dotted lines.



Equation
Graph



....................



....................



....................



",Algebra,2-algebra,graphs-of-functions
"Make  the subject of 
",Algebra,2-algebra,rearranging-formulae
"Here is a sketch of  where is a quadratic function.The graph intersects the -axis where and 

Circle the solution of 












",Algebra,2-algebra,solving-inequalities
Simplify        ,Algebra,2-algebra,algebraic-roots-and-indices
"
Find the value of  when  and 
 ..............................................",Algebra,2-algebra,algebra-toolkit
Solve ,Algebra,6-algebra,linear-equations
"Solve 
Show clear algebraic working.
 = .......................",Algebra,2-algebra,algebraic-fractions
Factorise                   ,Algebra,2-algebra,factorising
"Simplify .
",Algebra,2-algebra,algebra-toolkit
Give an interpretation of part (c).,Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
"Factorise fully     
",Algebra,2-algebra,factorising
"
The graph of , where  is a positive constant, is shown above.
Find the value of .",Algebra,2-algebra,transformations-of-graphs
"Complete the table of values for 















 
 


 
 


",Algebra,2-algebra,graphs-of-functions
"The th term of a sequence is .
Write down an expression, in terms of  and , for the 3rd term.",Algebra,2-algebra,sequences
" is the point with coordinates 
 is the point with coordinates The straight line  goes through both  and .
Is the line with equation  perpendicular to line ?You must show how you got your answer.",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
Show that the equation  can be arranged to give ,Algebra,2-algebra,iteration
"

Work out the value of  when ",Algebra,6-algebra,algebra-toolkit
"
Find the inverse function   in the form Show your working clearly.",Algebra,2-algebra,functions
Show that    can be written in the form   where  and  are integers.,Algebra,6-algebra,algebraic-fractions
"

Work out the value of  when 
",Algebra,2-algebra,algebra-toolkit
Make  the subject of the formula             ,Algebra,2-algebra,rearranging-formulae
"Colin says that the point (5, 7) lies outside the circle.
Is Colin correct?Show your reasoning.",Algebra,2-algebra,equation-of-a-circle
"The curve with equation  is transformed to the curve with equation  by the single transformation 
Describe fully the transformation 
",Algebra,2-algebra,transformations-of-graphs
"
 is an integer.
Write down all the possible values of .",Algebra,6-algebra,solving-inequalities
Work out  ,Algebra,2-algebra,functions
"11,   20,   35,   56,   83,   ..........",Algebra,6-algebra,sequences
"Tick whether the following statement is true or false.
Give a reason for your answer.
When  is a positive integer, the value of  is always a factor of the value of .
True          False    


",Algebra,2-algebra,algebraic-proof
"Express  in the form  where  and  are constants.
",Algebra,2-algebra,completing-the-square
"
 is an integer.
Write down all the possible values of .
",Algebra,2-algebra,solving-inequalities
Factorise                 ,Algebra,2-algebra,factorising
"Make  the subject of   
",Algebra,6-algebra,rearranging-formulae
Simplify fully      ,Algebra,2-algebra,algebraic-fractions
"Complete the table of values for 













 

 
 



",Algebra,2-algebra,graphs-of-functions
Work out the value of ,Algebra,2-algebra,algebraic-roots-and-indices
"Complete the table of values for 














 
 

 
 



",Algebra,2-algebra,graphs-of-functions
"Simplify.



",Algebra,2-algebra,algebraic-roots-and-indices
"A circle, centre , passes through (5, 0).

What is the equation of the circle?
Circle your answer.











",Algebra,2-algebra,equation-of-a-circle
Factorise         ,Algebra,2-algebra,factorising
"Find the other solution. 
 = .................................................... ",Algebra,6-algebra,algebra-toolkit
"Given that   where  is a prime number and  is an integer,find the value of  and the value of .Show each stage of your working clearly.
x = .............................................................y = .............................................................",Algebra,2-algebra,expanding-brackets
"Find the other solution. 
 = ....................................................",Algebra,2-algebra,algebra-toolkit
" is an integer.
   List the possible values of .",Algebra,2-algebra,solving-inequalities
"The functions and  are defined as

Solve the equation 
Show clear algebraic working.
",Algebra,2-algebra,linear-equations
"Calculate the distance travelled by the tram between the library and the town hall.
........................ m",Algebra,2-algebra,real-life-graphs
"Write down the equation of the line.
",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"Find estimates for the solutions of the simultaneous equations
",Algebra,2-algebra,graphs-of-functions
"Ben says that 150 is in the sequence.
Is Ben right?You must explain your answer.",Algebra,6-algebra,sequences
Factorise fully  ,Algebra,6-algebra,factorising
"Solve the simultaneous equations

Show clear algebraic working.
   ",Algebra,6-algebra,simultaneous-equations
Expand and simplify       ,Algebra,2-algebra,expanding-brackets
"The line  is the line of symmetry of the curve with equation 
Using your answer to part (a) or otherwise, write down an equation of .
",Algebra,2-algebra,graphs-of-functions
Write  as a single power of 3.,Algebra,6-algebra,algebraic-roots-and-indices
"The th term of another sequence D is .
Complete the table for the first four terms of sequence D.



Sequence
1st term
2nd term
3rd term
4th term


D
 
 
 
 


",Algebra,6-algebra,sequences
"The diagram shows a straight line, , drawn on a grid.

A straight line, , is parallel to the straight line  and passes through the point .Find an equation of the straight line .",Algebra,2-algebra,linear-graphs-y-equals-mx-plus-c
"


 and  are constants.Work out the value of .
",Algebra,2-algebra,functions
"Use the formula .
Calculate  when  = 5,  = 10 and  = 3.
 = ..............",Algebra,2-algebra,algebra-toolkit
Find the gradient of the straight line with equation .,Algebra,2-algebra,coordinate-geometry
Factorise               ,Algebra,2-algebra,factorising
"Solve the simultaneous equations

Show clear algebraic working.
",Algebra,6-algebra,simultaneous-equations
Solve  ,Algebra,6-algebra,linear-equations
"
Solve    
",Algebra,2-algebra,functions
"Calculate the perimeter, in centimetres, of rectangle ABCD.
...................................................... cm",Algebra,2-algebra,coordinate-geometry
"Write as a single fraction in its simplest form.

",Algebra,6-algebra,algebraic-fractions
"Here is a sequence of numbers.
7,   5,   3,   1,   – 1, …
Find the next term in this sequence.",Algebra,6-algebra,sequences
Express  in the form  where  andare integers.,Algebra,2-algebra,completing-the-square
"Show that, for 
    simplifies to the form        where  and  are integers.
",Algebra,2-algebra,algebraic-fractions
"
Represent this inequality on the number line.
",Algebra,2-algebra,solving-inequalities
Solve ,Algebra,2-algebra,linear-equations
Solve the inequality      ,Algebra,6-algebra,solving-inequalities
Show that   simplifies to  where  is an integer.   ,Algebra,2-algebra,algebraic-fractions
Show that ,Algebra,2-algebra,functions
"
i)
Work out the value of  when 
[1]

ii)
Work out a value of  when 
[2]",Algebra,6-algebra,algebra-toolkit
"


 and  are constants.Work out the value of .",Algebra,2-algebra,functions
"Solve the simultaneous equations

Show clear algebraic working.
",Algebra,6-algebra,simultaneous-equations
"The  term of a sequence  is given by 
There are numbers that are terms in both the sequence  and the sequence 
Find one of these numbers.
",Algebra,2-algebra,sequences
Expand and simplify      ,Algebra,6-algebra,factorising
Solve the inequality ,Algebra,2-algebra,solving-inequalities
"n is an integer.
Explain why 2n + 1 is an odd number.
",Algebra,2-algebra,algebraic-proof
"Kate has the following question for homework.

Show that Kate can form the equation   ",Algebra,2-algebra,forming-and-solving-equations
"Simplify  
",Algebra,2-algebra,algebraic-roots-and-indices
"On the grid, draw the graph of  for 
",Algebra,2-algebra,graphs-of-functions
"A straight line is drawn on the centimetre grid.

Fay assumes that the scale is 1 cm represents 1 unit.
Use her assumption to work out the gradient of the line.
",Algebra,2-algebra,coordinate-geometry
"In this question all units are in cm.A circle has equation 
Write down the radius and centre of the circle.
radius: .......................................................... cmcentre: (..........................., ...........................)     
",Algebra,2-algebra,equation-of-a-circle
"A triangle has vertices  and .
The coordinates of  are (—3, —6)The coordinates of  are (1, 4)The coordinates of  are (5, —2)
 is the midpoint of . is the midpoint of .
Prove that  is parallel to .You must show each stage of your working.",Algebra,2-algebra,coordinate-geometry
"The diagram shows a circle, centre the origin.

Write down the equation of the circle.",Algebra,2-algebra,equation-of-a-circle
"Factorise   
",Algebra,2-algebra,factorising
"Write  in the form  where  ,  and  are integers.
",Algebra,2-algebra,completing-the-square
Is your answer to part (a) an underestimate or an overestimate of the actual distance the car travelled in the first 20 seconds?Give a reason for your answer.,Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
"Draw the graph of 

",Algebra,2-algebra,graphs-of-functions
"Solve 
 = ....................
",Algebra,2-algebra,linear-equations
" and  are points on the circle       as shown.
 is on the -axis. is on the -axis. is the midpoint of . is a straight line.

Show that the coordinates of  are (0, 6).",Algebra,2-algebra,equation-of-a-circle
Find an estimate of the gradient of the curve when x = 2.,Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
"The graph shows the speed, v metres per second (m/s), of a car at time t seconds.

Use the graph to estimate the acceleration at t = 7.
...................................................m/s2",Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
"The curve  has equation 
Using the axes below, sketch the curve .On your sketch show clearly
i)
the exact coordinates of any points of intersection of  with the coordinate axes,
ii)
the coordinates of the turning point.


",Algebra,2-algebra,graphs-of-functions
Estimate the time during the 40 seconds when the instantaneous acceleration = the average acceleration.You must show your working on the graph.,Algebra,2-algebra,estimating-gradients-and-areas-under-graphs
"The graph of  is translated 4 units to the right.
The translated graph has equation 
Work out .
Give your answer in the form  where  and  are integers.
",Algebra,2-algebra,transformations-of-graphs
"Solve 
Show clear algebraic working.
   ",Algebra,6-algebra,linear-equations
"This diagram shows the same trapezium.


Work out an expression, in terms of , for the perimeter of the trapezium.
...........................cm
",Algebra,2-algebra,forming-and-solving-equations
Show that the equation of the straight line passing through and  is .,Algebra,2-algebra,equation-of-a-circle
"Solve the inequality 
",Algebra,2-algebra,solving-inequalities
"Kate correctly factorises the equation to get 
Her answer to the homework question is Is her answer correct?Tick a box.
 Yes          No

Give a reason for your answer.
",Algebra,2-algebra,forming-and-solving-equations
"In a chess club, there are  boys and  girls.If 5 more boys and 8 more girls join, there would be half as many boys as girls.
Show that 
",Algebra,2-algebra,forming-and-solving-equations
Solve  ,Algebra,6-algebra,linear-equations
"Factorise  
",Algebra,2-algebra,factorising
Make  the subject of the formula  ,Algebra,6-algebra,rearranging-formulae
"The diagram shows a trapezium.

All the measurements are in centimetres.
The area of the trapezium is 351 cm2.
a)
Show that  ",Algebra,2-algebra,forming-and-solving-equations
"Solve by factorisation.
2x2 − 19x − 33 = 0
x = ................... or x = .................. ",Algebra,2-algebra,solving-quadratic-equations
"The length of a rectangle is five times the width.The area of the rectangle is 1620 cm2

Work out the width of the rectangle.
......................cm",Algebra,2-algebra,forming-and-solving-equations
" is a multiple of 5

Prove, using algebra, that  is always a multiple of 20",Algebra,6-algebra,algebraic-proof
"Here are two function machines, A and B.

Both machines have the same input.
Work out the range of input values for which
                                   the output of A is less than the output of B.
 ",Algebra,2-algebra,functions
"Gemma has the same number of sweets as Betty.
Gemma gives 24 of her sweets to Betty.Betty now has 5 times as many sweets as Gemma.
Work out the total number of sweets that Gemma and Betty have.",Algebra,2-algebra,forming-and-solving-equations
